Truck_id,dist,delay_count,Total Time
Truck-0,25,5,361.152
Truck-1,19,4,348.368
Truck-2,27,6,361.096
Truck-3,37,7,380.2
Truck-4,35,8,378.624
Truck-5,17,3,344.12
Truck-6,17,3,344.264
Truck-7,21,5,352.72
Truck-8,29,5,365.056
Truck-9,15,2,339.048
Truck-10,33,7,373.392
Truck-11,35,10,379.744
Truck-12,21,5,357.784
Truck-13,27,4,361.928
Truck-14,27,4,361.632
Truck-15,53,9,406.416
Truck-16,15,2,339.248
Truck-17,29,5,366.864
Truck-18,33,7,378.84
Truck-19,33,9,378.416
Truck-20,25,5,360.336
Truck-21,19,4,348.856
Truck-22,27,6,362.064
Truck-23,37,7,380.688
Truck-24,35,8,380.576
Truck-25,17,3,345.112
Truck-26,17,3,344.64
Truck-27,21,5,349.88
Truck-28,29,5,364.736
Truck-29,15,2,342.624
Truck-30,33,7,374.384
Truck-31,35,10,380.032
Truck-32,21,5,360.168
Truck-33,27,4,362.208
Truck-34,27,4,368.272
Truck-35,53,9,407.576
Truck-36,15,2,341.696
Truck-37,29,5,367.272
Truck-38,33,7,379.792
Truck-39,33,9,376.384
Truck-40,25,5,359.752
Truck-41,19,4,347.536
Truck-42,21,3,350.648
Truck-43,35,10,383.096
Truck-44,33,7,380.096
Truck-45,17,3,344.44
Truck-46,17,3,343.984
Truck-47,19,4,352.168
Truck-48,29,5,362.576
Truck-49,25,3,354.816
Truck-50,59,12,422.416
Truck-51,35,10,382.976
Truck-52,21,5,350.864
Truck-53,33,7,375.472
Truck-54,27,4,361.472
Truck-55,33,7,373.344
Truck-56,15,2,339.136
Truck-57,31,6,369.504
Truck-58,35,8,381.976
Truck-59,27,6,364.48
Truck-60,27,6,364.544
Truck-61,19,4,349.656
Truck-62,23,4,357.04
Truck-63,35,10,383.528
Truck-64,37,9,385.048
Truck-65,17,3,343.448
Truck-66,17,3,345.272
Truck-67,19,4,352.432
Truck-68,29,5,362.488
Truck-69,25,3,355.608
Truck-70,59,12,423.44
Truck-71,33,9,381.344
Truck-72,21,5,354.952
Truck-73,31,6,372.544
Truck-74,31,6,370.08
Truck-75,33,7,376.192
Truck-76,15,2,340.176
Truck-77,27,4,362.456
Truck-78,31,6,372.056
Truck-79,27,6,367.656
Truck-80,27,6,358.712
Truck-81,19,4,348.576
Truck-82,25,5,363.176
Truck-83,33,9,376.264
Truck-84,37,9,384.376
Truck-85,17,3,344.784
Truck-86,17,3,344.424
Truck-87,19,4,352.632
Truck-88,33,7,373.04
Truck-89,15,2,339.344
Truck-90,59,12,420.464
Truck-91,35,10,383.568
Truck-92,21,5,352.384
Truck-93,29,5,369.952
Truck-94,31,6,368.944
Truck-95,33,7,377.08
Truck-96,15,2,340.448
Truck-97,27,4,361.976
Truck-98,31,6,370.528
Truck-99,37,7,381.096
Truck-100,25,5,360.248
Truck-101,19,4,348.896
Truck-102,27,6,362.864
Truck-103,27,6,365.392
Truck-104,33,7,379.936
Truck-105,17,3,345.36
Truck-106,17,3,348.544
Truck-107,19,4,352.232
Truck-108,29,5,361.944
Truck-109,25,3,359.328
Truck-110,29,5,367.592
Truck-111,35,10,380.92
Truck-112,21,5,356.096
Truck-113,27,4,362.568
Truck-114,31,6,369.648
Truck-115,61,13,431.88
Truck-116,15,2,339.984
Truck-117,29,5,366.448
Truck-118,35,8,383.584
Truck-119,35,10,379.344
Truck-120,27,6,363.264
Truck-121,19,4,348.032
Truck-122,23,4,357.384
Truck-123,35,10,382.472
Truck-124,37,9,385.944
Truck-125,17,3,345.536
Truck-126,17,3,344.168
Truck-127,19,4,351.416
Truck-128,33,7,376.32
Truck-129,25,3,354.592
Truck-130,59,12,422.432
Truck-131,33,9,380.488
Truck-132,21,5,350.496
Truck-133,31,6,369.12
Truck-134,31,6,372.8
Truck-135,33,7,375.456
Truck-136,15,2,340.064
Truck-137,27,4,367.408
Truck-138,31,6,373.088
Truck-139,27,6,365.272
Truck-140,25,5,362.064
Truck-141,19,4,347.712
Truck-142,23,4,356.976
Truck-143,35,10,383.48
Truck-144,31,6,368.984
Truck-145,17,3,345.304
Truck-146,17,3,344.928
Truck-147,19,4,354.168
Truck-148,33,7,376.656
Truck-149,25,3,357.272
Truck-150,59,12,427.136
Truck-151,35,10,385.392
Truck-152,21,5,353.856
Truck-153,33,7,376.384
Truck-154,29,5,366.448
Truck-155,35,8,377.624
Truck-156,15,2,340.08
Truck-157,27,4,363.44
Truck-158,35,8,378.576
Truck-159,27,6,366.504
Truck-160,25,5,356.832
Truck-161,19,4,347.208
Truck-162,27,6,362.2
Truck-163,37,7,380.104
Truck-164,33,7,379.248
Truck-165,17,3,344.008
Truck-166,17,3,344.352
Truck-167,21,5,353.344
Truck-168,33,7,376.624
Truck-169,15,2,341.8
Truck-170,31,6,369.76
Truck-171,33,9,380.824
Truck-172,21,5,349.992
Truck-173,31,6,369.8
Truck-174,31,6,369.0
Truck-175,31,6,374.576
Truck-176,15,2,338.856
Truck-177,57,11,418.168
Truck-178,31,6,370.184
Truck-179,35,10,381.872
Truck-180,25,5,357.848
Truck-181,19,4,347.768
Truck-182,25,5,359.296
Truck-183,37,7,381.488
Truck-184,33,7,380.328
Truck-185,17,3,344.624
Truck-186,17,3,344.704
Truck-187,21,5,355.224
Truck-188,29,5,362.256
Truck-189,15,2,340.152
Truck-190,33,7,374.128
Truck-191,33,9,387.12
Truck-192,21,5,353.984
Truck-193,33,7,376.112
Truck-194,29,5,368.688
Truck-195,31,6,370.592
Truck-196,15,2,340.608
Truck-197,49,7,398.696
Truck-198,31,6,370.936
Truck-199,35,10,383.432
Truck-200,27,6,362.336
Truck-201,19,4,347.672
Truck-202,23,4,356.832
Truck-203,35,10,381.0
Truck-204,35,8,378.008
Truck-205,17,3,344.304
Truck-206,17,3,344.2
Truck-207,19,4,354.744
Truck-208,33,7,375.912
Truck-209,15,2,339.184
Truck-210,33,7,373.416
Truck-211,33,9,380.312
Truck-212,21,5,354.928
Truck-213,33,7,375.432
Truck-214,49,7,398.056
Truck-215,33,7,373.376
Truck-216,15,2,339.656
Truck-217,27,4,361.168
Truck-218,31,6,370.208
Truck-219,37,7,379.96
Truck-220,27,6,363.48
Truck-221,19,4,348.28
Truck-222,21,3,349.864
Truck-223,27,6,366.616
Truck-224,33,7,380.16
Truck-225,17,3,345.592
Truck-226,17,3,344.664
Truck-227,21,5,358.096
Truck-228,33,7,375.72
Truck-229,25,3,358.44
Truck-230,33,7,374.504
Truck-231,33,9,381.976
Truck-232,21,5,355.712
Truck-233,33,7,376.392
Truck-234,27,4,362.984
Truck-235,53,9,404.864
Truck-236,15,2,342.232
Truck-237,29,5,366.448
Truck-238,35,8,380.328
Truck-239,33,9,380.92
Truck-240,25,5,360.968
Truck-241,19,4,347.56
Truck-242,23,4,356.992
Truck-243,35,10,378.04
Truck-244,35,8,378.176
Truck-245,17,3,344.488
Truck-246,17,3,344.024
Truck-247,19,4,353.088
Truck-248,33,7,380.032
Truck-249,25,3,354.736
Truck-250,33,7,373.384
Truck-251,37,7,380.824
Truck-252,21,5,354.432
Truck-253,33,7,375.84
Truck-254,29,5,365.912
Truck-255,31,6,369.896
Truck-256,15,2,338.608
Truck-257,49,7,397.768
Truck-258,31,6,372.496
Truck-259,35,10,382.928
Truck-260,25,5,360.272
Truck-261,19,4,348.24
Truck-262,25,5,356.472
Truck-263,35,10,380.776
Truck-264,33,7,379.304
Truck-265,17,3,344.656
Truck-266,17,3,345.416
Truck-267,19,4,352.648
Truck-268,33,7,377.608
Truck-269,25,3,355.568
Truck-270,51,8,401.92
Truck-271,37,7,380.816
Truck-272,21,5,358.36
Truck-273,33,7,376.032
Truck-274,27,4,362.784
Truck-275,33,7,375.64
Truck-276,15,2,339.136
Truck-277,31,6,370.072
Truck-278,31,6,372.112
Truck-279,35,10,379.936
Truck-280,25,5,359.728
Truck-281,19,4,348.44
Truck-282,27,6,363.392
Truck-283,27,6,365.256
Truck-284,35,8,380.448
Truck-285,17,3,344.608
Truck-286,17,3,344.08
Truck-287,21,5,355.488
Truck-288,33,7,375.808
Truck-289,25,3,355.384
Truck-290,33,7,372.792
Truck-291,45,11,393.336
Truck-292,21,5,353.984
Truck-293,29,5,369.88
Truck-294,27,4,361.664
Truck-295,53,9,404.568
Truck-296,15,2,338.816
Truck-297,29,5,365.872
Truck-298,31,6,370.48
Truck-299,33,9,376.232
Truck-300,27,6,363.512
Truck-301,19,4,348.224
Truck-302,27,6,362.912
Truck-303,37,7,381.12
Truck-304,31,6,371.4
Truck-305,17,3,347.104
Truck-306,17,3,345.032
Truck-307,19,4,353.36
Truck-308,33,7,379.112
Truck-309,15,2,339.744
Truck-310,33,7,374.784
Truck-311,45,11,394.0
Truck-312,21,5,356.016
Truck-313,31,6,369.536
Truck-314,49,7,398.968
Truck-315,31,6,369.328
Truck-316,15,2,340.096
Truck-317,29,5,367.92
Truck-318,33,7,380.216
Truck-319,33,9,375.488
Truck-320,19,4,350.648
Truck-321,19,4,347.296
Truck-322,23,4,356.44
Truck-323,35,10,381.976
Truck-324,59,12,420.864
Truck-325,17,3,344.472
Truck-326,17,3,344.944
Truck-327,19,4,353.608
Truck-328,33,7,376.056
Truck-329,25,3,362.744
Truck-330,33,7,374.44
Truck-331,37,7,380.792
Truck-332,21,5,354.96
Truck-333,33,7,372.784
Truck-334,27,4,361.312
Truck-335,33,7,373.272
Truck-336,15,2,339.48
Truck-337,49,7,397.896
Truck-338,31,6,370.64
Truck-339,35,10,379.36
Truck-340,19,4,351.152
Truck-341,19,4,347.736
Truck-342,17,3,347.656
Truck-343,35,10,378.944
Truck-344,33,7,379.944
Truck-345,17,3,344.592
Truck-346,17,3,344.328
Truck-347,19,4,352.744
Truck-348,33,7,377.624
Truck-349,25,3,355.48
Truck-350,33,7,374.424
Truck-351,43,10,392.112
Truck-352,55,12,409.96
Truck-353,33,7,373.256
Truck-354,49,7,403.968
Truck-355,33,7,377.912
Truck-356,15,2,339.584
Truck-357,27,4,363.776
Truck-358,31,6,371.52
Truck-359,27,6,365.44
Truck-360,27,6,364.752
Truck-361,37,5,388.008
Truck-362,21,5,355.864
Truck-363,29,5,366.208
Truck-364,37,5,379.864
Truck-365,31,6,369.664
Truck-366,31,6,375.912
Truck-367,25,3,355.272
Truck-368,27,6,360.24
Truck-369,21,5,354.296
Truck-370,31,6,369.208
Truck-371,15,2,339.56
Truck-372,29,5,361.368
Truck-373,17,3,345.048
Truck-374,43,8,396.216
Truck-375,21,5,354.816
Truck-376,19,4,346.696
Truck-377,35,4,370.16
Truck-378,35,8,379.816
Truck-379,25,5,355.76
Truck-380,27,6,365.136
Truck-381,37,5,380.28
Truck-382,21,5,356.52
Truck-383,29,5,366.544
Truck-384,37,5,374.736
Truck-385,31,6,368.352
Truck-386,31,6,377.008
Truck-387,25,3,363.44
Truck-388,27,6,359.32
Truck-389,21,5,355.984
