Number of YT,alpha_1,alpha_2,alpha_3,Congestion_ratio_AVG_now,Difference_from_first
10,0,0,100,0.030397997965517242,0.0
10,10,80,10,0.028280302839285714,-6.966561181541595
10,20,70,10,0.02914597503148148,-4.118767740744063
10,30,60,10,0.035785671456140346,17.723777390651684
10,40,50,10,0.029196790754385964,-3.95159974842389
10,50,40,10,0.03147421408275862,3.54041775534761
10,60,30,10,0.029099503848214286,-4.271643543025224
10,70,20,10,0.029367124392881354,-3.3912548247594674
10,80,10,10,0.03225087883166667,6.095404270542064
15,0,0,100,0.0509945804,0.0
15,10,80,10,0.044393592,-12.94449007761617
15,20,70,10,0.04512213216949153,-11.515828122214485
15,30,60,10,0.04222337261716667,-17.20027444883797
15,40,50,10,0.04526501903333333,-11.235628025025713
15,50,40,10,0.0381410514,-25.205676562445056
15,60,30,10,0.04049388024137931,-20.591796375719753
15,70,20,10,0.042832880396551726,-16.00503414172279
15,80,10,10,0.03812000458644068,-25.246949210232785
20,0,0,100,0.04817656156666667,0.0
20,10,80,10,0.03858244718275862,-19.914485533866355
20,20,70,10,0.03414845575862069,-29.118113356084795
20,30,60,10,0.039012014,-19.02283448349626
20,40,50,10,0.03517057364912281,-26.99650513568967
20,50,40,10,0.034293803379310345,-28.816415567859448
20,60,30,10,0.03788483396666666,-21.3625200000177
20,70,20,10,0.041209176800000004,-14.462187711394073
20,80,10,10,0.03455507191333333,-28.27410095360155
25,0,0,100,0.0781228708275862,0.0
25,10,80,10,0.057234784949152545,-26.737478611779082
25,20,70,10,0.06526961083333334,-16.452621182623275
25,30,60,10,0.06820471551724137,-12.695584795179595
25,40,50,10,0.07573536203389832,-3.0560945449086456
25,50,40,10,0.07623860750000001,-2.41192279242359
25,60,30,10,0.07051547398305084,-9.737733347414428
25,70,20,10,0.06617985175,-15.287481055251959
25,80,10,10,0.05901531027272727,-24.458344083422755
30,0,0,100,0.08430809336491228,0.0
30,10,80,10,0.0712825423559322,-15.449941386530167
30,20,70,10,0.08175018166666666,-3.034004917148544
30,30,60,10,0.07467576152542373,-11.425156773261087
30,40,50,10,0.08201708610169492,-2.717422695471422
30,50,40,10,0.08059172087719298,-4.4080850834019705
30,60,30,10,0.08390005792982456,-0.48398133417821415
30,70,20,10,0.08497942137931035,0.7962794408033205
30,80,10,10,0.07810990622033899,-7.351829340684486
35,0,0,100,0.15689752485714287,0.0
35,10,80,10,0.1118146084375,-28.733988289930906
35,20,70,10,0.11904878563380282,-24.123222630695924
35,30,60,10,0.1283292047826087,-18.20826689302204
35,40,50,10,0.12573464408450705,-19.861932685687687
35,50,40,10,0.14074999176470587,-10.291770445161275
35,60,30,10,0.12860384028571428,-18.033225570123133
35,70,20,10,0.13733976426470587,-12.465308557445107
35,80,10,10,0.1329645872463768,-15.253865625067888
40,0,0,100,0.15275887581818182,0.0
40,10,80,10,0.12124765423728813,-20.628078998433637
40,20,70,10,0.12198048436363636,-20.14834901716534
40,30,60,10,0.12510250333333334,-18.104592834111923
40,40,50,10,0.1337818089473684,-12.422889844646722
40,50,40,10,0.13559697839285714,-11.234631921323693
40,60,30,10,0.141418833220339,-7.423491785407012
40,70,20,10,0.14418375913793105,-5.613498158010226
40,80,10,10,0.14463007175438597,-5.321330116013025
45,0,0,100,0.216950874,0.0
45,10,80,10,0.17007598103448276,-21.60622453427739
45,20,70,10,0.17055867500000002,-21.38373454997004
45,30,60,10,0.20016755178571427,-7.736001199186558
45,40,50,10,0.2046035690909091,-5.691290697031666
45,50,40,10,0.21320187818181818,-1.7280390482233343
45,60,30,10,0.21644197413793104,-0.23456916890270332
45,70,20,10,0.2070166596491228,-4.579015593584189
45,80,10,10,0.20149094705882353,-7.126003530723944
50,0,0,100,0.2305306679245283,0.0
50,10,80,10,0.19070954363636364,-17.273677574734396
50,20,70,10,0.19301617037037036,-16.273104959050194
50,30,60,10,0.20582838305084747,-10.715400730009568
50,40,50,10,0.21038573620689655,-8.73850403462452
50,50,40,10,0.2131985290909091,-7.518365773049092
50,60,30,10,0.2146271625,-6.898650651432998
50,70,20,10,0.21353942545454546,-7.370491146776828
50,80,10,10,0.22111890344827587,-4.082651805500208
55,0,0,100,0.3370505728813559,0.0
55,10,80,10,0.23923779649122806,-29.020207725491275
55,20,70,10,0.26413173157894737,-21.634391740991486
55,30,60,10,0.2719121482142857,-19.326009183197375
55,40,50,10,0.2937132807017544,-12.857801073922682
55,50,40,10,0.30358246481481477,-9.929699208172584
55,60,30,10,0.2841177962962963,-15.70469859539219
55,70,20,10,0.3017454839285714,-10.474715604536929
55,80,10,10,0.29988823703703704,-11.025744750002332
60,0,0,100,0.36682028035714287,0.0
60,10,80,10,0.27351287719298245,-25.436816926619937
60,20,70,10,0.2754630181818182,-24.905183019427827
60,30,60,10,0.29284891249999995,-20.165561125770655
60,40,50,10,0.30889397115384615,-15.791468548821404
60,50,40,10,0.3034821215686274,-17.266809437811965
60,60,30,10,0.3275581545454545,-10.703368356150332
60,70,20,10,0.32968080925925924,-10.12470495407832
60,80,10,10,0.32920485263157895,-10.254456947947606
