file name,alpha_1,alpha_2,alpha_3,Congestion_ratio_AVG,Gap
prev_5_now_5,,,,,
,0.0,0.0,100.0,0.027715287315517242,0.0
,10.0,80.0,10.0,0.029589373285714284,6.761921494307504
,20.0,70.0,10.0,0.03003512263333333,8.37023730407896
,30.0,60.0,10.0,0.033561426456140346,21.093554160450523
,40.0,50.0,10.0,0.03091969026140351,11.561860822175872
,50.0,40.0,10.0,0.03062628274275862,10.5032121590584
,60.0,30.0,10.0,0.029385190576785715,6.025206386128736
,70.0,20.0,10.0,0.030587271864406778,10.362456344739273
,80.0,10.0,10.0,0.029150703251833332,5.179148676955727
prev_5_now_10,,,,,
,0.0,0.0,100.0,0.044844252655,0.0
,10.0,80.0,10.0,0.03907851540677967,-12.857249049455326
,20.0,70.0,10.0,0.03979136189966102,-11.267644026119367
,30.0,60.0,10.0,0.0392248552,-12.530920067353279
,40.0,50.0,10.0,0.04092821906666667,-8.732520571723045
,50.0,40.0,10.0,0.037633831183333334,-16.078808419751255
,60.0,30.0,10.0,0.03752841012068965,-16.313891081189986
,70.0,20.0,10.0,0.039607200694827586,-11.678312492935476
,80.0,10.0,10.0,0.035522236981186436,-20.787537135540124
prev_10_now_10,,,,,
,0.0,0.0,100.0,0.05255437736666667,0.0
,10.0,80.0,10.0,0.041426325793103444,-21.174357172807728
,20.0,70.0,10.0,0.03809292146551724,-27.517129163672305
,30.0,60.0,10.0,0.03970071383333333,-24.457836202024815
,40.0,50.0,10.0,0.03699476887719298,-29.606684103430325
,50.0,40.0,10.0,0.03787359938965517,-27.93445325131562
,60.0,30.0,10.0,0.038535214416666665,-26.675538085419028
,70.0,20.0,10.0,0.040426319833333335,-23.077159584095313
,80.0,10.0,10.0,0.036932754594499996,-29.724684326818608
prev_10_now_15,,,,,
,0.0,0.0,100.0,0.06921014931034483,0.0
,10.0,80.0,10.0,0.05491873915254237,-20.649298260748484
,20.0,70.0,10.0,0.062994002,-8.98155454407568
,30.0,60.0,10.0,0.06340120344827586,-8.39319943672005
,40.0,50.0,10.0,0.06738930610169491,-2.63089045001924
,50.0,40.0,10.0,0.07076743866666665,2.2500881327950766
,60.0,30.0,10.0,0.06464210759322034,-6.600248319998508
,70.0,20.0,10.0,0.0613598135,-11.342752310998764
,80.0,10.0,10.0,0.05565320781818182,-19.58808300119743
prev_15_now_15,,,,,
,0.0,0.0,100.0,0.10224325263157895,0.0
,10.0,80.0,10.0,0.08507779101694915,-16.788845398418065
,20.0,70.0,10.0,0.089057646,-12.896309822117713
,30.0,60.0,10.0,0.08603673644067797,-15.850939571826004
,40.0,50.0,10.0,0.09771975864406779,-4.424246951347506
,50.0,40.0,10.0,0.0936978205263158,-8.35794234369242
,60.0,30.0,10.0,0.09067865561403508,-11.310865724524117
,70.0,20.0,10.0,0.09362907620689656,-8.42517838876128
,80.0,10.0,10.0,0.08610066457627119,-15.78841404182983
prev_15_now_20,,,,,
,0.0,0.0,100.0,0.145571862,0.0
,10.0,80.0,10.0,0.1060207,-27.16951027252781
,20.0,70.0,10.0,0.11312947225352112,-22.2861680140348
,30.0,60.0,10.0,0.11915396971014493,-18.14766392824945
,40.0,50.0,10.0,0.12164959929577465,-16.433301309442168
,50.0,40.0,10.0,0.1261011304411765,-13.375340049455097
,60.0,30.0,10.0,0.120419766,-17.27813030240693
,70.0,20.0,10.0,0.12562001970588235,-13.70583711714675
,80.0,10.0,10.0,0.11955506362318839,-17.872134091965936
prev_20_now_20,,,,,
