file name,alpha_1,alpha_2,alpha_3,Congestion_ratio_AVG,Gap
,0.0,0.0,100.0,0.18499692,0.0
,10.0,80.0,10.0,0.1402303820338983,-24.198531503174063
,20.0,70.0,10.0,0.14290870654545454,-22.750764420588983
,30.0,60.0,10.0,0.1446370038888889,-21.816534086681614
,40.0,50.0,10.0,0.1557963450877193,-15.78435733539818
,50.0,40.0,10.0,0.15737077392857143,-14.933300549775948
,60.0,30.0,10.0,0.15965903305084744,-13.69638313392059
,70.0,20.0,10.0,0.15897929362068966,-14.06381597018499
,80.0,10.0,10.0,0.15873298666666666,-14.196957080871048
prev_20_now_25,,,,,
,0.0,0.0,100.0,0.21835591399999998,0.0
,10.0,80.0,10.0,0.17089319137931036,-21.73640354008897
,20.0,70.0,10.0,0.1755873392857143,-19.58663446792913
,30.0,60.0,10.0,0.19210674107142858,-12.021278676505828
,40.0,50.0,10.0,0.19995822363636365,-8.425551672319871
,50.0,40.0,10.0,0.19994424545454548,-8.431953230932187
,60.0,30.0,10.0,0.20334622758620688,-6.873954608709662
,70.0,20.0,10.0,0.1949643052631579,-10.712605996484298
,80.0,10.0,10.0,0.1891939843137255,-13.355227780216882
prev_25_now_25,,,,,
,0.0,0.0,100.0,0.2694352924528302,0.0
,10.0,80.0,10.0,0.21251759272727272,-21.124812272142123
,20.0,70.0,10.0,0.22656814074074075,-15.909998768848805
,30.0,60.0,10.0,0.23792140169491524,-11.69627425977689
,40.0,50.0,10.0,0.24562583103448277,-8.836801297111345
,50.0,40.0,10.0,0.24707046545454545,-8.300630104796
,60.0,30.0,10.0,0.2396797125,-11.043683135177805
,70.0,20.0,10.0,0.2372070490909091,-11.961403819272597
,80.0,10.0,10.0,0.2490881879310345,-7.55175921333983
prev_25_now_30,,,,,
,0.0,0.0,100.0,0.3400236220338983,0.0
,10.0,80.0,10.0,0.24399015263157894,-28.24317582051561
,20.0,70.0,10.0,0.2748687754385965,-19.161858874853774
,30.0,60.0,10.0,0.2805865,-17.480292009821824
,40.0,50.0,10.0,0.29754576315789477,-12.492619960318152
,50.0,40.0,10.0,0.29656862037037035,-12.779994931997916
,60.0,30.0,10.0,0.2873852666666667,-15.480793673206586
,70.0,20.0,10.0,0.2975204482142857,-12.500065014711033
,80.0,10.0,10.0,0.2898193185185185,-14.764945804375538
prev_30_now_30,,,,,
,0.0,0.0,100.0,0.41677378214285715,0.0
,10.0,80.0,10.0,0.3047875245614035,-26.869794209624303
,20.0,70.0,10.0,0.32177555454545453,-22.793714880280106
,30.0,60.0,10.0,0.33105071071428566,-20.568249516038005
,40.0,50.0,10.0,0.3540715576923077,-15.044666228322653
,50.0,40.0,10.0,0.3401717254901961,-18.379768578246182
,60.0,30.0,10.0,0.35662404363636363,-14.43222704586443
,70.0,20.0,10.0,0.35793478148148145,-14.11773081282918
,80.0,10.0,10.0,0.34364817719298246,-17.54563460635571
