Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 200)","(625, 0, 100)"
1,1,"(375, 0, 200)","(125, 0, 150)"
2,2,"(125, 0, 200)","(625, 0, 50)"
3,3,"(125, 0, 0)","(125, 0, 200)"
4,4,"(125, 0, 50)","(125, 0, 200)"
5,5,"(375, 0, 100)","(375, 0, 200)"
6,6,"(125, 0, 100)","(375, 0, 200)"
7,7,"(125, 0, 200)","(375, 0, 50)"
8,8,"(375, 0, 0)","(625, 0, 200)"
9,9,"(625, 0, 200)","(625, 0, 0)"
10,10,"(375, 0, 200)","(375, 0, 150)"
11,11,"(625, 0, 150)","(625, 0, 200)"
12,12,"(125, 0, 200)","(125, 0, 50)"
13,13,"(375, 0, 200)","(625, 0, 50)"
14,14,"(625, 0, 200)","(375, 0, 50)"
