Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 600)","(375, 0, 300)"
1,1,"(1875, 0, 600)","(375, 0, 150)"
2,2,"(1875, 0, 0)","(1125, 0, 600)"
3,3,"(1875, 0, 450)","(1875, 0, 600)"
4,4,"(375, 0, 0)","(1125, 0, 600)"
5,5,"(1875, 0, 450)","(1875, 0, 600)"
6,6,"(1125, 0, 0)","(1875, 0, 600)"
7,7,"(1125, 0, 300)","(375, 0, 600)"
8,8,"(1125, 0, 0)","(375, 0, 600)"
9,9,"(1125, 0, 600)","(375, 0, 0)"
10,10,"(1875, 0, 150)","(375, 0, 600)"
11,11,"(1125, 0, 600)","(1125, 0, 150)"
12,12,"(1125, 0, 450)","(1125, 0, 600)"
13,13,"(375, 0, 450)","(1125, 0, 600)"
14,14,"(1875, 0, 300)","(1875, 0, 600)"
15,15,"(375, 0, 600)","(1125, 0, 150)"
16,16,"(1875, 0, 0)","(1875, 0, 600)"
17,17,"(1125, 0, 450)","(1125, 0, 600)"
18,18,"(1125, 0, 600)","(375, 0, 300)"
19,19,"(1125, 0, 600)","(375, 0, 150)"
20,20,"(375, 0, 600)","(1125, 0, 300)"
21,21,"(1875, 0, 150)","(375, 0, 600)"
22,22,"(1125, 0, 150)","(1125, 0, 600)"
23,23,"(1125, 0, 0)","(1875, 0, 600)"
24,24,"(1875, 0, 600)","(1125, 0, 450)"
25,25,"(1875, 0, 150)","(375, 0, 600)"
26,26,"(1875, 0, 600)","(1875, 0, 300)"
27,27,"(375, 0, 450)","(375, 0, 600)"
28,28,"(375, 0, 450)","(375, 0, 600)"
29,29,"(1875, 0, 450)","(1875, 0, 600)"
