x,y,z
0,0,75
0,0,150
0,0,225
300,0,0
300,0,75
300,0,150
300,0,225
300,0,300
600,0,0
600,0,75
600,0,150
600,0,225
600,0,300
900,0,75
900,0,150
900,0,225
