Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 0)","(375, 0, 100)"
1,1,"(375, 0, 150)","(125, 0, 150)"
2,2,"(375, 0, 0)","(625, 0, 0)"
3,3,"(125, 0, 150)","(375, 0, 150)"
4,4,"(125, 0, 200)","(625, 0, 200)"
5,5,"(375, 0, 150)","(625, 0, 200)"
6,6,"(625, 0, 150)","(125, 0, 50)"
7,7,"(375, 0, 150)","(625, 0, 200)"
8,8,"(125, 0, 150)","(375, 0, 100)"
9,9,"(625, 0, 50)","(375, 0, 0)"
10,10,"(125, 0, 50)","(375, 0, 50)"
11,11,"(625, 0, 100)","(625, 0, 150)"
12,12,"(625, 0, 50)","(125, 0, 100)"
13,13,"(375, 0, 150)","(375, 0, 0)"
14,14,"(375, 0, 150)","(625, 0, 200)"
15,15,"(625, 0, 0)","(375, 0, 200)"
16,16,"(625, 0, 50)","(625, 0, 150)"
17,17,"(125, 0, 200)","(375, 0, 100)"
18,18,"(125, 0, 0)","(625, 0, 150)"
19,19,"(125, 0, 50)","(125, 0, 0)"
20,20,"(125, 0, 50)","(125, 0, 100)"
21,21,"(625, 0, 100)","(125, 0, 150)"
22,22,"(375, 0, 150)","(625, 0, 150)"
23,23,"(375, 0, 100)","(625, 0, 100)"
24,24,"(375, 0, 200)","(375, 0, 0)"
25,25,"(625, 0, 150)","(625, 0, 200)"
26,26,"(125, 0, 200)","(125, 0, 100)"
27,27,"(375, 0, 0)","(375, 0, 100)"
28,28,"(625, 0, 0)","(625, 0, 100)"
29,29,"(125, 0, 200)","(375, 0, 150)"
30,30,"(625, 0, 0)","(375, 0, 150)"
31,31,"(375, 0, 200)","(625, 0, 0)"
32,32,"(625, 0, 50)","(125, 0, 50)"
33,33,"(125, 0, 100)","(625, 0, 100)"
34,34,"(375, 0, 150)","(625, 0, 0)"
35,35,"(125, 0, 100)","(125, 0, 0)"
36,36,"(375, 0, 0)","(625, 0, 200)"
37,37,"(625, 0, 150)","(375, 0, 100)"
38,38,"(625, 0, 150)","(375, 0, 100)"
39,39,"(375, 0, 50)","(125, 0, 50)"
40,40,"(125, 0, 150)","(625, 0, 150)"
41,41,"(625, 0, 100)","(375, 0, 0)"
42,42,"(625, 0, 100)","(125, 0, 200)"
43,43,"(625, 0, 150)","(375, 0, 50)"
44,44,"(125, 0, 50)","(625, 0, 200)"
45,45,"(125, 0, 200)","(625, 0, 200)"
46,46,"(375, 0, 100)","(125, 0, 100)"
47,47,"(375, 0, 200)","(375, 0, 50)"
48,48,"(125, 0, 150)","(125, 0, 0)"
49,49,"(125, 0, 0)","(125, 0, 200)"
