Truck_id,Route_id,Pick_station,Drop_station
0,0,"(675, 0, 600)","(675, 0, 0)"
1,1,"(675, 0, 300)","(225, 0, 600)"
2,2,"(675, 0, 300)","(1125, 0, 0)"
4,4,"(225, 0, 300)","(675, 0, 300)","(675, 0, 300)","(225, 0, 150)"
5,5,"(225, 0, 150)","(1125, 0, 600)"
6,6,"(225, 0, 600)","(675, 0, 0)"
7,7,"(1125, 0, 450)","(225, 0, 0)"
8,8,"(225, 0, 150)","(225, 0, 450)","(225, 0, 450)","(225, 0, 600)"
9,9,"(675, 0, 150)","(225, 0, 150)"
10,10,"(675, 0, 0)","(1125, 0, 0)"
11,11,"(225, 0, 300)","(1125, 0, 150)"
12,12,"(675, 0, 300)","(675, 0, 0)"
13,13,"(1125, 0, 600)","(1125, 0, 450)"
14,14,"(675, 0, 150)","(225, 0, 0)"
15,15,"(225, 0, 600)","(675, 0, 450)","(675, 0, 450)","(675, 0, 0)"
17,17,"(1125, 0, 150)","(1125, 0, 450)"
19,19,"(225, 0, 300)","(675, 0, 450)"
