Truck_id,Route_id,Pick_station,Drop_station
2,2,"(1125, 0, 600)","(675, 0, 450)","(675, 0, 450)","(1125, 0, 150)","(1125, 0, 150)","(675, 0, 300)","(675, 0, 300)","(225, 0, 0)","(225, 0, 0)","(1125, 0, 150)","(1125, 0, 150)","(1125, 0, 600)"
6,6,"(225, 0, 150)","(225, 0, 600)","(225, 0, 600)","(225, 0, 450)"
8,8,"(1125, 0, 300)","(225, 0, 450)"
11,11,"(225, 0, 600)","(675, 0, 450)","(675, 0, 450)","(675, 0, 150)"
12,12,"(1125, 0, 300)","(225, 0, 0)","(225, 0, 0)","(1125, 0, 150)","(1125, 0, 150)","(675, 0, 150)","(675, 0, 150)","(225, 0, 450)"
13,13,"(1125, 0, 300)","(675, 0, 300)","(675, 0, 300)","(225, 0, 300)"
14,14,"(675, 0, 450)","(225, 0, 600)"
15,15,"(1125, 0, 450)","(225, 0, 150)","(225, 0, 150)","(1125, 0, 0)"
17,17,"(1125, 0, 450)","(1125, 0, 150)","(1125, 0, 150)","(675, 0, 150)","(675, 0, 150)","(675, 0, 300)","(675, 0, 300)","(675, 0, 150)"
21,21,"(225, 0, 450)","(675, 0, 300)","(675, 0, 300)","(675, 0, 150)","(675, 0, 150)","(1125, 0, 0)"
22,22,"(675, 0, 600)","(225, 0, 300)"
26,26,"(225, 0, 450)","(225, 0, 0)"
27,27,"(675, 0, 0)","(675, 0, 150)"
