Truck_id,Route_id,Pick_station,Drop_station
0,0,"(1125, 0, 450)","(1875, 0, 600)"
1,1,"(1875, 0, 0)","(1875, 0, 600)"
2,2,"(1875, 0, 450)","(1125, 0, 600)"
3,3,"(1875, 0, 600)","(1875, 0, 0)"
4,4,"(1875, 0, 300)","(375, 0, 600)"
5,5,"(1125, 0, 450)","(1125, 0, 600)"
6,6,"(1875, 0, 600)","(1875, 0, 450)"
7,7,"(1125, 0, 0)","(375, 0, 600)"
8,8,"(1125, 0, 300)","(1875, 0, 600)"
9,9,"(1875, 0, 300)","(375, 0, 600)"
10,10,"(375, 0, 600)","(375, 0, 150)"
11,11,"(375, 0, 150)","(1875, 0, 600)"
12,12,"(375, 0, 600)","(1875, 0, 0)"
13,13,"(1125, 0, 600)","(1875, 0, 450)"
14,14,"(375, 0, 450)","(1875, 0, 600)"
15,15,"(375, 0, 300)","(1875, 0, 600)"
16,16,"(375, 0, 600)","(1875, 0, 300)"
17,17,"(1875, 0, 450)","(1125, 0, 600)"
18,18,"(1875, 0, 150)","(375, 0, 600)"
19,19,"(1875, 0, 450)","(375, 0, 600)"
20,20,"(1875, 0, 450)","(1125, 0, 600)"
21,21,"(1875, 0, 600)","(1125, 0, 150)"
22,22,"(1125, 0, 150)","(1125, 0, 600)"
23,23,"(375, 0, 600)","(375, 0, 300)"
24,24,"(375, 0, 300)","(1875, 0, 600)"
25,25,"(1875, 0, 600)","(1125, 0, 300)"
26,26,"(1125, 0, 300)","(1875, 0, 600)"
27,27,"(1125, 0, 150)","(375, 0, 600)"
28,28,"(1875, 0, 600)","(1875, 0, 150)"
29,29,"(1875, 0, 600)","(1875, 0, 150)"
