Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-14,Route-14,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,342.544,0.03101211,2.836267,6.768,30.736,,,443.52,501.88,501.88,0.1237301,0.3892706,0.2712526
Truck-5,Route-5,(175.0 0.0 205.5),(125.0 0.0 150.0),341.2643,345.48,0.1021633,3.032001,6.776,33.664
Truck-11,Route-11,(425.0 0.0 205.5),(375.0 0.0 150.0),341.2643,345.928,0.1130201,3.061867,6.768,34.112
Truck-10,Route-10,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,347.808,0.06598525,2.812236,6.776,36.008
Truck-4,Route-4,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,348.04,0.07115809,2.825883,6.784,36.232
Truck-8,Route-8,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,358.576,0.1260853,2.789333,6.776,46.792
Truck-18,Route-18,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,364.392,0.2378943,3.066286,9.28,41.056
Truck-9,Route-9,(675.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,368.68,0.09414589,2.543703,29.648,33.952
Truck-16,Route-16,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,372.984,0.1627135,2.703111,9.288,49.664
Truck-13,Route-13,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,377.672,0.007316349,2.2192,6.768,65.848
Truck-15,Route-15,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,381.192,0.2934754,3.007111,9.176,66.936
Truck-12,Route-12,(675.0 0.0 55.5),(125.0 0.0 100.0),373.5235,383.472,0.1353108,2.529454,37.408,35.032
Truck-0,Route-0,(175.0 0.0 105.5),(375.0 0.0 0.0),377.1078,385.608,0.1102372,2.445943,33.56,47.048
Truck-1,Route-1,(675.0 0.0 205.5),(125.0 0.0 50.0),384.2766,385.712,0.01703268,2.197744,6.784,73.88
Truck-3,Route-3,(425.0 0.0 155.5),(625.0 0.0 50.0),387.8609,389.288,0.01624265,2.177756,29.76,54.448
Truck-19,Route-19,(425.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,391.344,0.1320053,2.468757,22.96,63.352
Truck-6,Route-6,(425.0 0.0 -5.5),(375.0 0.0 50.0),391.4453,401.272,0.1074605,2.355163,41.144,52.056
Truck-2,Route-2,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,401.92,0.209352,2.613334,6.784,90.064
Truck-17,Route-17,(175.0 0.0 155.5),(625.0 0.0 150.0),398.614,415.512,0.1713555,2.457702,37.408,72.992
Truck-7,Route-7,(425.0 0.0 55.5),(625.0 0.0 50.0),412.9514,443.52,0.2706354,2.609454,37.416,98.112
Truck-102,Route-102,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,339.144,-0.05138339,2.609601,7.144,27.056
Truck-113,Route-113,(425.0 0.0 205.5),(375.0 0.0 150.0),341.2643,345.944,0.1134076,3.062933,7.128,33.864
Truck-105,Route-105,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,345.96,0.1137952,3.063999,7.136,33.856
Truck-123,Route-123,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,347.416,0.05724411,2.789176,9.584,32.792
Truck-108,Route-108,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,348.52,0.08186031,2.854117,7.136,36.432
Truck-100,Route-100,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,351.384,0.06092928,2.704421,7.144,39.328
Truck-104,Route-104,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,355.376,0.06456772,2.636953,7.144,43.288
Truck-103,Route-103,(425.0 0.0 155.5),(125.0 0.0 200.0),359.1861,355.632,-0.06004922,2.22528,22.744,27.816
