Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 100)","(625, 0, 200)"
1,1,"(125, 0, 0)","(125, 0, 200)"
2,2,"(125, 0, 100)","(125, 0, 200)"
3,3,"(375, 0, 50)","(375, 0, 200)"
4,4,"(625, 0, 200)","(125, 0, 150)"
5,5,"(625, 0, 200)","(375, 0, 0)"
6,6,"(625, 0, 200)","(125, 0, 0)"
7,7,"(375, 0, 200)","(625, 0, 0)"
8,8,"(125, 0, 200)","(625, 0, 50)"
9,9,"(125, 0, 50)","(375, 0, 200)"
10,10,"(125, 0, 150)","(625, 0, 200)"
11,11,"(625, 0, 100)","(625, 0, 200)"
12,12,"(375, 0, 200)","(625, 0, 0)"
13,13,"(125, 0, 200)","(375, 0, 150)"
14,14,"(375, 0, 50)","(375, 0, 200)"
15,15,"(125, 0, 200)","(125, 0, 50)"
16,16,"(125, 0, 200)","(625, 0, 100)"
17,17,"(625, 0, 200)","(375, 0, 0)"
18,18,"(375, 0, 200)","(625, 0, 150)"
19,19,"(125, 0, 200)","(625, 0, 50)"
