File_name,Type,Objective_value,C_max,C_avg
prev_Truck_20_LP_0_0_100_4rep.csv,Middle,89600,446.456,408.11359999999996
now_Truck_20_LP_0_0_100_4rep.csv,Middle,90800,463.392,411.66640000000007
prev_Truck_20_LP_40_50_10_4rep.csv,Middle,49958,451.992,409.2464
now_Truck_20_LP_40_50_10_4rep.csv,Middle,48198,448.432,408.3364
prev_Truck_20_LP_0_0_100_4rep.csv,Max,107400,469.824,426.7112
now_Truck_20_LP_0_0_100_4rep.csv,Max,109000,490.352,431.11800000000005
prev_Truck_20_LP_40_50_10_4rep.csv,Max,56911,476.52,424.60920000000004
now_Truck_20_LP_40_50_10_4rep.csv,Max,56117,476.584,427.35240000000005
prev_Truck_20_LP_0_0_100_5rep.csv,Min,63600,405.464,379.3692
now_Truck_20_LP_0_0_100_5rep.csv,Min,57200,415.328,369.97799999999995
prev_Truck_20_LP_40_50_10_5rep.csv,Min,34687,413.456,378.21079999999995
now_Truck_20_LP_40_50_10_5rep.csv,Min,28677,392.352,372.5816
prev_Truck_20_LP_0_0_100_5rep.csv,Middle,105200,458.536,420.78319999999997
now_Truck_20_LP_0_0_100_5rep.csv,Middle,88400,445.552,402.85319999999996
prev_Truck_20_LP_40_50_10_5rep.csv,Middle,53272,457.392,423.6116
now_Truck_20_LP_40_50_10_5rep.csv,Middle,44056,462.352,405.5048
prev_Truck_20_LP_0_0_100_5rep.csv,Max,119600,501.416,438.18359999999996
now_Truck_20_LP_0_0_100_5rep.csv,Max,103400,472.848,418.93640000000005
prev_Truck_20_LP_40_50_10_5rep.csv,Max,61920,475.536,438.9428000000001
now_Truck_20_LP_40_50_10_5rep.csv,Max,53189,486.976,414.91319999999996
prev_Truck_20_LP_0_0_100_6rep.csv,Min,56400,413.536,378.458
now_Truck_20_LP_0_0_100_6rep.csv,Min,58400,426.856,372.5215999999999
prev_Truck_20_LP_40_50_10_6rep.csv,Min,32129,413.208,373.7976
now_Truck_20_LP_40_50_10_6rep.csv,Min,27092,412.352,370.93600000000004
prev_Truck_20_LP_0_0_100_6rep.csv,Middle,89400,454.144,406.6708
now_Truck_20_LP_0_0_100_6rep.csv,Middle,93200,477.856,412.21639999999996
prev_Truck_20_LP_40_50_10_6rep.csv,Middle,47946,457.224,404.66760000000005
now_Truck_20_LP_40_50_10_6rep.csv,Middle,47255,476.4,410.36119999999994
prev_Truck_20_LP_0_0_100_6rep.csv,Max,103200,482.768,429.94040000000007
now_Truck_20_LP_0_0_100_6rep.csv,Max,108600,489.104,426.9424
prev_Truck_20_LP_40_50_10_6rep.csv,Max,54356,464.92,427.12559999999996
now_Truck_20_LP_40_50_10_6rep.csv,Max,55624,499.736,423.94399999999996
prev_Truck_20_LP_0_0_100_7rep.csv,Min,67200,451.544,393.4896
now_Truck_20_LP_0_0_100_7rep.csv,Min,65800,431.256,380.2128
prev_Truck_20_LP_40_50_10_7rep.csv,Min,38182,457.304,386.6524
now_Truck_20_LP_40_50_10_7rep.csv,Min,34605,447.488,384.7324
prev_Truck_20_LP_0_0_100_7rep.csv,Middle,102400,492.688,425.3124000000001
now_Truck_20_LP_0_0_100_7rep.csv,Middle,102600,488.296,427.0316000000001
prev_Truck_20_LP_40_50_10_7rep.csv,Middle,54235,469.68,422.0796
now_Truck_20_LP_40_50_10_7rep.csv,Middle,52659,474.944,421.354
prev_Truck_20_LP_0_0_100_7rep.csv,Max,115000,481.128,441.9504
now_Truck_20_LP_0_0_100_7rep.csv,Max,117200,490.952,443.5575999999999
prev_Truck_20_LP_40_50_10_7rep.csv,Max,60784,481.664,440.00840000000005
now_Truck_20_LP_40_50_10_7rep.csv,Max,57410,505.96,443.2204
prev_Truck_20_LP_0_0_100_8rep.csv,Min,59800,434.08,382.9208
now_Truck_20_LP_0_0_100_8rep.csv,Min,58800,430.52,380.5795999999999
prev_Truck_20_LP_40_50_10_8rep.csv,Min,34374,434.984,378.51840000000004
now_Truck_20_LP_40_50_10_8rep.csv,Min,28708,413.224,376.2884
prev_Truck_20_LP_0_0_100_8rep.csv,Middle,100000,489.0,426.1379999999999
now_Truck_20_LP_0_0_100_8rep.csv,Middle,98600,489.888,418.24120000000005
prev_Truck_20_LP_40_50_10_8rep.csv,Middle,52872,460.24,419.10800000000006
now_Truck_20_LP_40_50_10_8rep.csv,Middle,50956,484.056,419.2676
