File_name,Type,Objective_value,C_max,C_avg,Timeline
prev_Truck_20_LP_0_0_100_1rep.csv,Min,63800,407.896,377.6852,
now_Truck_20_LP_0_0_100_1rep.csv,Min,68000,424.416,373.718,
prev_Truck_20_LP_40_50_10_1rep.csv,Min,34751,404.464,372.8872,
now_Truck_20_LP_40_50_10_1rep.csv,Min,34924,426.384,371.5628,
prev_Truck_20_LP_0_0_100_1rep.csv,Middle,98400,456.28,406.45,
now_Truck_20_LP_0_0_100_1rep.csv,Middle,108800,458.52,415.7772,
prev_Truck_20_LP_40_50_10_1rep.csv,Middle,53500,451.056,406.4088,
now_Truck_20_LP_40_50_10_1rep.csv,Middle,49286,448.552,416.5744,
prev_Truck_20_LP_0_0_100_1rep.csv,Max,119600,479.992,425.848,
now_Truck_20_LP_0_0_100_1rep.csv,Max,124200,501.176,433.9608,
prev_Truck_20_LP_40_50_10_1rep.csv,Max,63222,481.624,424.6392,
now_Truck_20_LP_40_50_10_1rep.csv,Max,57622,483.168,428.9804,
prev_Truck_20_LP_0_0_100_2rep.csv,Min,56800,418.384,377.8492,
now_Truck_20_LP_0_0_100_2rep.csv,Min,53600,422.288,369.7992,
prev_Truck_20_LP_40_50_10_2rep.csv,Min,31534,451.032,380.9512,
now_Truck_20_LP_40_50_10_2rep.csv,Min,25341,421.576,369.2096,
prev_Truck_20_LP_0_0_100_2rep.csv,Middle,98600,474.192,420.308,
now_Truck_20_LP_0_0_100_2rep.csv,Middle,88400,486.536,420.4148,
prev_Truck_20_LP_40_50_10_2rep.csv,Middle,51842,490.032,426.6068,
now_Truck_20_LP_40_50_10_2rep.csv,Middle,48567,500.192,418.7264,
prev_Truck_20_LP_0_0_100_2rep.csv,Max,114200,490.824,435.4452,
now_Truck_20_LP_0_0_100_2rep.csv,Max,106000,475.368,428.2648,
prev_Truck_20_LP_40_50_10_2rep.csv,Max,59858,496.496,433.9756,
now_Truck_20_LP_40_50_10_2rep.csv,Max,55768,481.544,425.574,
prev_Truck_20_LP_0_0_100_3rep.csv,Min,49000,426.288,383.472,
now_Truck_20_LP_0_0_100_3rep.csv,Min,62000,443.728,375.276,
prev_Truck_20_LP_40_50_10_3rep.csv,Min,25024,415.76,379.818,
now_Truck_20_LP_40_50_10_3rep.csv,Min,31639,427.36,376.1136,
prev_Truck_20_LP_0_0_100_3rep.csv,Middle,87400,476.176,428.226,
now_Truck_20_LP_0_0_100_3rep.csv,Middle,97200,480.336,410.6484,
prev_Truck_20_LP_40_50_10_3rep.csv,Middle,42346,459.12,421.32,
now_Truck_20_LP_40_50_10_3rep.csv,Middle,47857,481.232,412.998,
prev_Truck_20_LP_0_0_100_3rep.csv,Max,101000,503.704,450.8048,
now_Truck_20_LP_0_0_100_3rep.csv,Max,112200,482.304,426.2804,
prev_Truck_20_LP_40_50_10_3rep.csv,Max,50053,521.544,451.2892,
now_Truck_20_LP_40_50_10_3rep.csv,Max,57393,487.408,429.4672,
prev_Truck_20_LP_0_0_100_4rep.csv,Min,59600,423.352,376.714,
now_Truck_20_LP_0_0_100_4rep.csv,Min,52600,431.6,376.856,
prev_Truck_20_LP_40_50_10_4rep.csv,Min,33843,418.184,376.1668,
now_Truck_20_LP_40_50_10_4rep.csv,Min,25801,420,377.5556,
prev_Truck_20_LP_0_0_100_4rep.csv,Middle,89600,479.24,421.2556,
now_Truck_20_LP_0_0_100_4rep.csv,Middle,90800,579.024,440.0508,
prev_Truck_20_LP_40_50_10_4rep.csv,Middle,49958,462.64,420.0612,
now_Truck_20_LP_40_50_10_4rep.csv,Middle,48198,444.624,413.3664,
prev_Truck_20_LP_0_0_100_4rep.csv,Max,107400,484.256,437.232,
now_Truck_20_LP_0_0_100_4rep.csv,Max,109000,473.488,432.9856,
prev_Truck_20_LP_40_50_10_4rep.csv,Max,56911,485.928,439.512,
now_Truck_20_LP_40_50_10_4rep.csv,Max,56117,509.832,438.802,
prev_Truck_20_LP_0_0_100_5rep.csv,Min,63600,424.304,373.7016,
now_Truck_20_LP_0_0_100_5rep.csv,Min,57200,504.328,387.8844,
prev_Truck_20_LP_40_50_10_5rep.csv,Min,34687,432.08,378.922,
now_Truck_20_LP_40_50_10_5rep.csv,Min,28677,427.256,373.7992,
prev_Truck_20_LP_0_0_100_5rep.csv,Middle,105200,444.512,404.1644,
now_Truck_20_LP_0_0_100_5rep.csv,Middle,88400,564.44,415.2036,
prev_Truck_20_LP_40_50_10_5rep.csv,Middle,53272,455.032,409.894,
now_Truck_20_LP_40_50_10_5rep.csv,Middle,44056,436.48,400.2744,
prev_Truck_20_LP_0_0_100_5rep.csv,Max,119600,524.92,433.5584,
now_Truck_20_LP_0_0_100_5rep.csv,Max,103400,457.592,413.728,
prev_Truck_20_LP_40_50_10_5rep.csv,Max,61920,529.632,432.4312,
now_Truck_20_LP_40_50_10_5rep.csv,Max,53189,458.888,410.6732,
prev_Truck_20_LP_0_0_100_6rep.csv,Min,56400,426.016,375.5492,
now_Truck_20_LP_0_0_100_6rep.csv,Min,58400,422.848,374.912,
