Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-117,Route-117,(675.0 0.0 155.5),(375.0 0.0 150.0),29.859,1.719,4.136
Truck-29,Route-29,(175.0 0.0 55.5),(125.0 0.0 150.0),75.905,1.226,14.166,0.001,12.501
Truck-101,Route-101,(675.0 0.0 155.5),(375.0 0.0 150.0),124.641,8.797,11.324,7.13,6.664,0.001,12.881
Truck-24,Route-24,(675.0 0.0 105.5),(125.0 0.0 0.0),194.336,1.825,9.056,0.003,12.983,0.003,13.892,0.003,14.248,0,22.301
Truck-119,Route-119,(675.0 0.0 205.5),(125.0 0.0 0.0),192.475,1.119,9.515,0.002,15.879,0,19.289,0,29.066,0.003,9.58
Truck-12,Route-12,(675.0 0.0 105.5),(375.0 0.0 200.0),261.755,1.229,8.662,0.001,11.572,0.004,7.826,5.894,11.072,0,20.394,0.002,11.323,0.003,9.543
Truck-117,Route-117,(675.0 0.0 155.5),(375.0 0.0 150.0),29.849,1.713,4.132
Truck-29,Route-29,(175.0 0.0 55.5),(125.0 0.0 150.0),75.279,1.211,14.19,0.003,11.862
Truck-101,Route-101,(675.0 0.0 155.5),(375.0 0.0 150.0),123.804,8.885,11.252,6.93,6.375,0.003,12.516
Truck-24,Route-24,(675.0 0.0 105.5),(125.0 0.0 0.0),194.731,1.809,9.285,0,24.669,0,31.969,0.001,14.453,0,22.5
Truck-119,Route-119,(675.0 0.0 205.5),(125.0 0.0 0.0),192.637,1.119,9.415,0,27.765,0,19.526,0.003,11.041,0,21.737
Truck-12,Route-12,(675.0 0.0 105.5),(375.0 0.0 200.0),261.19,1.214,8.894,0.003,11.644,0.003,7.276,5.938,11.092,0,20.215,0,29.213,0,21.655
Truck-114,Route-114,(425.0 0.0 105.5),(125.0 0.0 0.0),427.319,1.119,19.597,0.001,7.564,0.001,8.824,0.002,9.837,0,18.708,0,26.743,5.854,12.805,0,33.393,5.281,7.034,0,27.84,0,20.565
Truck-117,Route-117,(675.0 0.0 155.5),(375.0 0.0 150.0),29.597,1.714,3.879
Truck-29,Route-29,(175.0 0.0 55.5),(125.0 0.0 150.0),74.737,1.191,13.686,0,23.851
Truck-101,Route-101,(675.0 0.0 155.5),(375.0 0.0 150.0),125.41,8.831,11.091,6.995,7.094,0,24.739
Truck-24,Route-24,(675.0 0.0 105.5),(125.0 0.0 0.0),192.331,1.786,8.319,0.001,12.244,0,31.162,0,26.613,0,22.166
Truck-119,Route-119,(675.0 0.0 205.5),(125.0 0.0 0.0),193.285,1.122,9.735,0.001,16.404,0,19.753,0,28.931,0,21.28
Truck-12,Route-12,(675.0 0.0 105.5),(375.0 0.0 200.0),260.575,1.194,7.919,0.003,11.391,0.001,7.507,6.359,10.874,0,20.767,0,28.696,0,21.766
Truck-117,Route-117,(675.0 0.0 155.5),(375.0 0.0 150.0),29.691,1.718,3.955
Truck-29,Route-29,(175.0 0.0 55.5),(125.0 0.0 150.0),74.823,1.191,13.974,0,23.64
Truck-101,Route-101,(675.0 0.0 155.5),(375.0 0.0 150.0),126.575,9.021,11.284,6.789,8.254,0,24.447
Truck-24,Route-24,(675.0 0.0 105.5),(125.0 0.0 0.0),193.433,1.787,9.276,0,24.221,0,31.345,0,26.406,0,22.345
Truck-119,Route-119,(675.0 0.0 205.5),(125.0 0.0 0.0),192.939,1.131,9.662,0,27.982,0,19.704,0,28.995,0,21.402
Truck-12,Route-12,(675.0 0.0 105.5),(375.0 0.0 200.0),261.672,1.197,8.892,0,23.225,0,19.017,6.216,10.987,0,20.994,0,28.89,0,22.162
Truck-117,Route-117,(675.0 0.0 155.5),(375.0 0.0 150.0),208.603,8.724,19.874
Truck-29,Route-29,(175.0 0.0 55.5),(125.0 0.0 150.0),495.486,6.441,69.836,0.014,59.136
Truck-117,Route-117,(675.0 0.0 155.5),(375.0 0.0 150.0),69.298,2.853,6.439
