Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT,,,,,,,,
Truck-39,Route-39,(175.0 0.0 155.5),(125.0 0.0 150.0),394.99,38.62,55.66,,Truck-29,Route-29,(175.0 0.0 155.5),(625.0 0.0 150.0),405.97,50.09,55.1
Truck-21,Route-21,(675.0 0.0 55.5),(125.0 0.0 0.0),401.04,38.02,62.41,,Truck-34,Route-34,(675.0 0.0 55.5),(375.0 0.0 50.0),401.65,40.36,60.66
Truck-32,Route-32,(425.0 0.0 -5.5),(375.0 0.0 200.0),433.83,46.65,86.31,,Truck-37,Route-37,(175.0 0.0 55.5),(375.0 0.0 100.0),400.76,59.32,40.83
Truck-6,Route-6,(425.0 0.0 -5.5),(125.0 0.0 200.0),438.21,41.8,95.59,,Truck-13,Route-13,(175.0 0.0 5.5),(375.0 0.0 200.0),411.98,5.58,105.92
Truck-18,Route-18,(175.0 0.0 55.5),(375.0 0.0 200.0),435.51,7.83,126.72,,Truck-38,Route-38,(675.0 0.0 105.5),(125.0 0.0 200.0),421.53,5.6,115.38
Truck-1,Route-1,(675.0 0.0 5.5),(375.0 0.0 200.0),443.5,24.56,118.15,,Truck-17,Route-17,(175.0 0.0 155.5),(125.0 0.0 100.0),422.16,29.34,92.04
Truck-27,Route-27,(675.0 0.0 55.5),(375.0 0.0 50.0),442.15,39.54,102,,Truck-31,Route-31,(175.0 0.0 5.5),(375.0 0.0 200.0),428.18,7.82,119.57
Truck-23,Route-23,(675.0 0.0 5.5),(625.0 0.0 200.0),444.56,24.35,114.41,,Truck-39,Route-39,(175.0 0.0 155.5),(125.0 0.0 150.0),427.06,37.11,89.18
Truck-29,Route-29,(175.0 0.0 155.5),(625.0 0.0 150.0),450.2,50.02,99.68,,Truck-18,Route-18,(175.0 0.0 55.5),(375.0 0.0 200.0),426.29,6.67,118.86
Truck-16,Route-16,(175.0 0.0 55.5),(625.0 0.0 200.0),452.49,33.72,118.21,,Truck-28,Route-28,(675.0 0.0 155.5),(125.0 0.0 50.0),434.78,31.62,102.54
Truck-37,Route-37,(175.0 0.0 55.5),(375.0 0.0 100.0),448.52,57.93,89.87,,Truck-36,Route-36,(175.0 0.0 -5.5),(125.0 0.0 200.0),437.72,19.7,117.43
Truck-26,Route-26,(175.0 0.0 105.5),(625.0 0.0 100.0),466.69,34.71,131.16,,Truck-6,Route-6,(425.0 0.0 -5.5),(125.0 0.0 200.0),446.95,41.57,104.57
Truck-14,Route-14,(175.0 0.0 55.5),(375.0 0.0 100.0),473.86,46.86,125.3,,Truck-26,Route-26,(175.0 0.0 105.5),(625.0 0.0 100.0),451.75,33.4,117.54
Truck-2,Route-2,(175.0 0.0 55.5),(625.0 0.0 50.0),485.65,41.1,143.86,,Truck-2,Route-2,(175.0 0.0 55.5),(625.0 0.0 50.0),463.24,39.75,122.73
Truck-34,Route-34,(675.0 0.0 55.5),(375.0 0.0 50.0),478.95,40.34,136.06,,Truck-14,Route-14,(175.0 0.0 55.5),(375.0 0.0 100.0),476.93,46.23,129.06
Truck-11,Route-11,(175.0 0.0 55.5),(625.0 0.0 100.0),489.97,45.47,143.21,,Truck-11,Route-11,(175.0 0.0 55.5),(625.0 0.0 100.0),485.31,46.04,137.83
