Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT,,,Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT,Congestion_1,Congestion_2
Truck-20,Route-20,(425.0 0.0 205.5),(375.0 0.0 50.0),313.153,8.783,44.351,,,,,,,,,,,
Truck-17,Route-17,(425.0 0.0 5.5),(375.0 0.0 200.0),329.867,5.381,64.475,,,,,,,,,,,
Truck-0,Route-0,(425.0 0.0 155.5),(625.0 0.0 200.0),344.259,23.079,61.154,,,,,,,,,,,
Truck-3,Route-3,(425.0 0.0 205.5),(125.0 0.0 50.0),365.655,23.078,44.512,,,,,,,,,,,
Truck-19,Route-19,(175.0 0.0 205.5),(125.0 0.0 0.0),366.238,5.381,48.77,,,,,,,,,,,
Truck-11,Route-11,(425.0 0.0 205.5),(625.0 0.0 100.0),367.057,29.717,77.317,,,,,,,,,,,
Truck-6,Route-6,(675.0 0.0 55.5),(375.0 0.0 50.0),384.298,5.382,18.912,,,,,,,,,,,
Truck-2,Route-2,(175.0 0.0 105.5),(125.0 0.0 0.0),403.058,5.382,36.652,,,,,,,,,,,
Truck-23,Route-23,(675.0 0.0 55.5),(625.0 0.0 0.0),403.943,8.438,33.476,,,,,,,,,,,
Truck-15,Route-15,(675.0 0.0 105.5),(375.0 0.0 0.0),411.648,5.382,46.253,,,,,,,,,,,
Truck-4,Route-4,(675.0 0.0 155.5),(375.0 0.0 0.0),427.462,5.382,62.073,,,,,,,,,,,
Truck-22,Route-22,(175.0 0.0 5.5),(375.0 0.0 150.0),435.22,5.381,69.833,,,,,,,,,,,
Truck-28,Route-28,(675.0 0.0 55.5),(375.0 0.0 150.0),445.152,40.981,44.152,,,,,,,,,,,
Truck-25,Route-25,(675.0 0.0 105.5),(625.0 0.0 50.0),452.58,8.438,84.128,,,,,,,,,,,
Truck-24,Route-24,(425.0 0.0 55.5),(125.0 0.0 150.0),452.789,40.02,52.746,,,,,,,,,,,
Truck-29,Route-29,(675.0 0.0 55.5),(375.0 0.0 200.0),478.539,8.84,38.404,,,,,,,,,,,
Truck-18,Route-18,(675.0 0.0 5.5),(375.0 0.0 50.0),496.072,5.382,32.115,,,,,,,,,,,
Truck-26,Route-26,(175.0 0.0 155.5),(625.0 0.0 0.0),546.156,5.378,101.005,,,,,,,,,,,
Truck-9,Route-9,(175.0 0.0 105.5),(625.0 0.0 50.0),546.223,8.438,106.115,,,,,,,,,,,
Truck-14,Route-14,(675.0 0.0 155.5),(125.0 0.0 100.0),546.833,8.783,59.03,,,,,,,,,,,
Truck-1,Route-1,(175.0 0.0 55.5),(375.0 0.0 50.0),565.14,5.382,87.591,,,,,,,,,,,
Truck-7,Route-7,(425.0 0.0 55.5),(375.0 0.0 0.0),592.38,23.078,61.834,,,,,,,,,,,
Truck-21,Route-21,(425.0 0.0 55.5),(125.0 0.0 50.0),624.997,44.077,78.641,,,,,,,,,,,
Truck-27,Route-27,(175.0 0.0 105.5),(625.0 0.0 100.0),643.81,8.76,100.738,,,,,,,,,,,
Truck-10,Route-10,(425.0 0.0 105.5),(625.0 0.0 150.0),656.42,28.979,107.174,,,,,,,,,,,
Truck-5,Route-5,(675.0 0.0 155.5),(375.0 0.0 50.0),676.412,48.475,38.633,,,,,,,,,,,
Truck-16,Route-16,(675.0 0.0 205.5),(125.0 0.0 100.0),727.427,62.896,57.016,,,,,,,,,,,
Truck-8,Route-8,(425.0 0.0 105.5),(125.0 0.0 150.0),790.912,23.078,64.414,,,,,,,,,,,
Truck-13,Route-13,(675.0 0.0 205.5),(125.0 0.0 0.0),805.746,57.015,40.951,,,,,,,,,,,
