Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT,Congestion_1,Congestion_2
Truck-0,Route-0,(675.0 0.0 205.5),(625.0 0.0 100.0),254.68,9.1,45.23,-2.57,-38.7
Truck-1,Route-1,(175.0 0.0 155.5),(125.0 0.0 0.0),249.91,5.54,43.97,0.96,-37.47
Truck-10,Route-10,(425.0 0.0 155.5),(375.0 0.0 50.0),308.52,20.92,87.57,4.17,-62.48
Truck-11,Route-11,(425.0 0.0 5.5),(375.0 0.0 200.0),253.08,5.14,47.91,4.15,-38.62
Truck-12,Route-12,(175.0 0.0 5.5),(625.0 0.0 200.0),271.74,5.15,66.55,1.36,-60.04
Truck-13,Route-13,(175.0 0.0 55.5),(125.0 0.0 100.0),271.25,5.13,66.09,2.95,-58.01
Truck-14,Route-14,(425.0 0.0 205.5),(125.0 0.0 0.0),251.66,5.14,46.47,1.38,-39.95
Truck-15,Route-15,(425.0 0.0 55.5),(625.0 0.0 50.0),284.15,5.1,79.02,1.42,-72.5
Truck-16,Route-16,(675.0 0.0 5.5),(125.0 0.0 200.0),262.07,20.96,41.08,4.13,-15.99
Truck-17,Route-17,(425.0 0.0 155.5),(375.0 0.0 200.0),235.09,5.12,29.92,2.96,-21.84
Truck-18,Route-18,(175.0 0.0 205.5),(125.0 0.0 150.0),241.47,5.11,36.33,1.4,-29.82
Truck-19,Route-19,(175.0 0.0 105.5),(375.0 0.0 100.0),293.21,5.11,88.07,1.4,-81.56
Truck-2,Route-2,(175.0 0.0 55.5),(625.0 0.0 200.0),278.71,5.6,72.65,0.92,-66.13
Truck-20,Route-20,(425.0 0.0 205.5),(125.0 0.0 0.0),251.38,5.11,46.24,4.18,-36.95
Truck-21,Route-21,(675.0 0.0 55.5),(375.0 0.0 0.0),236.72,5.11,31.58,4.18,-22.29
Truck-22,Route-22,(675.0 0.0 5.5),(125.0 0.0 150.0),298.14,44.83,53.27,0.14,-8.3
Truck-23,Route-23,(175.0 0.0 -5.5),(125.0 0.0 200.0),265.79,41.29,24.46,-3.1,13.73
Truck-24,Route-24,(425.0 0.0 105.5),(375.0 0.0 50.0),305.44,20.93,84.48,1.4,-62.15
Truck-25,Route-25,(425.0 0.0 -5.5),(125.0 0.0 200.0),295.99,42.42,53.54,0.58,-10.54
Truck-26,Route-26,(175.0 0.0 105.5),(375.0 0.0 100.0),292.88,5.11,87.73,4.17,-78.45
Truck-27,Route-27,(175.0 0.0 55.5),(125.0 0.0 100.0),271.3,5.11,66.16,3,-58.05
Truck-28,Route-28,(675.0 0.0 105.5),(375.0 0.0 0.0),294.87,38.57,56.27,-0.49,-18.19
Truck-29,Route-29,(175.0 0.0 205.5),(625.0 0.0 100.0),280.76,5.11,75.62,4.17,-66.34
Truck-3,Route-3,(175.0 0.0 55.5),(625.0 0.0 50.0),297.93,5.66,91.8,3.63,-82.51
Truck-30,Route-30,(675.0 0.0 155.5),(375.0 0.0 150.0),268.13,30.54,37.56,3.58,-3.44
Truck-31,Route-31,(675.0 0.0 105.5),(625.0 0.0 50.0),274.33,5.13,69.17,4.15,-59.89
Truck-32,Route-32,(175.0 0.0 155.5),(375.0 0.0 50.0),293.09,5.11,87.96,2.96,-79.89
Truck-33,Route-33,(175.0 0.0 205.5),(625.0 0.0 150.0),273.02,5.12,67.87,2.95,-59.8
Truck-34,Route-34,(675.0 0.0 5.5),(125.0 0.0 100.0),255.11,5.11,49.96,3,-41.85
Truck-35,Route-35,(175.0 0.0 105.5),(375.0 0.0 150.0),286.1,5.12,80.95,2.95,-72.88
Truck-36,Route-36,(175.0 0.0 5.5),(125.0 0.0 0.0),288.8,44.37,44.38,1.04,1.03
Truck-37,Route-37,(425.0 0.0 205.5),(375.0 0.0 50.0),252.85,5.1,47.7,2.98,-39.62
Truck-38,Route-38,(675.0 0.0 155.5),(125.0 0.0 50.0),273.72,30.5,43.19,4.46,-8.23
Truck-39,Route-39,(175.0 0.0 5.5),(125.0 0.0 0.0),289.19,44.77,44.37,1.85,2.25
Truck-4,Route-4,(425.0 0.0 5.5),(375.0 0.0 200.0),253.37,5.69,47.38,0.83,-40.86
Truck-5,Route-5,(425.0 0.0 155.5),(625.0 0.0 150.0),279.81,5.7,73.71,0.82,-67.19
Truck-6,Route-6,(675.0 0.0 155.5),(625.0 0.0 100.0),270.7,32.22,38.08,-1.25,-7.11
Truck-7,Route-7,(675.0 0.0 55.5),(375.0 0.0 150.0),240.31,5.53,34.34,0.99,-27.82
Truck-8,Route-8,(675.0 0.0 5.5),(625.0 0.0 200.0),322.31,53.19,68.81,-1.05,-16.67
Truck-9,Route-9,(175.0 0.0 155.5),(125.0 0.0 50.0),277.63,5.16,72.43,4.13,-63.14
