Truck_id,Route_id,Pick_station,Drop_station
0,0,"(225, 0, 0)","(1125, 0, 150)"
1,1,"(675, 0, 300)","(675, 0, 150)"
2,2,"(1125, 0, 450)","(1125, 0, 150)"
3,3,"(675, 0, 150)","(225, 0, 450)"
4,4,"(225, 0, 600)","(225, 0, 450)"
5,5,"(1125, 0, 600)","(675, 0, 450)"
6,6,"(225, 0, 150)","(1125, 0, 0)"
7,7,"(1125, 0, 150)","(1125, 0, 600)"
8,8,"(1125, 0, 300)","(225, 0, 0)"
9,9,"(675, 0, 450)","(675, 0, 150)"
10,10,"(675, 0, 0)","(675, 0, 150)"
11,11,"(675, 0, 450)","(225, 0, 600)"
12,12,"(1125, 0, 150)","(675, 0, 150)"
13,13,"(1125, 0, 150)","(675, 0, 300)"
14,14,"(675, 0, 300)","(675, 0, 150)"
15,15,"(1125, 0, 450)","(225, 0, 150)"
16,16,"(225, 0, 0)","(1125, 0, 150)"
17,17,"(1125, 0, 300)","(675, 0, 300)"
18,18,"(675, 0, 300)","(225, 0, 300)"
19,19,"(675, 0, 150)","(1125, 0, 0)"
20,20,"(675, 0, 150)","(675, 0, 300)"
21,21,"(225, 0, 450)","(225, 0, 0)"
22,22,"(675, 0, 450)","(1125, 0, 150)"
23,23,"(225, 0, 600)","(675, 0, 450)"
24,24,"(1125, 0, 300)","(225, 0, 450)"
25,25,"(225, 0, 150)","(225, 0, 600)"
26,26,"(225, 0, 450)","(675, 0, 300)"
27,27,"(1125, 0, 150)","(675, 0, 150)"
28,28,"(675, 0, 300)","(225, 0, 0)"
29,29,"(675, 0, 600)","(225, 0, 300)"
