Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-14,Route-14,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,339.944,-0.03199647,2.662933,6.888,28.056,,,431.112,423.2,431.112,0.1801295,0.2439364,0.2155778
Truck-5,Route-5,(175.0 0.0 205.5),(125.0 0.0 150.0),341.2643,347.096,0.1413254,3.139734,6.888,35.2
Truck-10,Route-10,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,348.328,0.07757956,2.842824,6.888,36.448
Truck-4,Route-4,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,353.48,0.192455,3.145883,6.896,41.576
Truck-8,Route-8,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,363.344,0.2177471,3.016381,6.888,51.432
Truck-11,Route-11,(425.0 0.0 205.5),(625.0 0.0 50.0),366.3548,367.992,0.024674,2.344552,6.888,56.12
Truck-18,Route-18,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,369.864,0.3430902,3.326858,9.28,46.512
Truck-9,Route-9,(675.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,373.552,0.1717622,2.724148,29.776,38.704
Truck-12,Route-12,(675.0 0.0 55.5),(375.0 0.0 150.0),369.9391,375.144,0.07442037,2.424001,37.512,32.576
Truck-15,Route-15,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,381.336,0.2957696,3.012444,9.176,67.064
Truck-13,Route-13,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,381.544,0.05753185,2.329829,6.888,69.608
Truck-1,Route-1,(675.0 0.0 205.5),(125.0 0.0 50.0),384.2766,386.552,0.02699982,2.219282,6.896,74.584
Truck-16,Route-16,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,386.824,0.3831995,3.215704,9.28,63.48
Truck-6,Route-6,(425.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,391.144,0.1295269,2.463352,16.304,69.84
Truck-0,Route-0,(175.0 0.0 105.5),(375.0 0.0 0.0),377.1078,396.832,0.2557995,2.766629,39.768,51.984
