File_name,Type,Objective_value,C_max,C_avg,Timeline
prev_Truck_20_LP_40_50_10_6rep.csv,Min,32129,413.208,373.7976,
now_Truck_20_LP_40_50_10_6rep.csv,Min,27092,412.352,370.936,
prev_Truck_20_LP_0_0_100_6rep.csv,Middle,89400,454.144,406.6708,
now_Truck_20_LP_0_0_100_6rep.csv,Middle,93200,477.856,412.2164,
prev_Truck_20_LP_40_50_10_6rep.csv,Middle,47946,457.224,404.6676,
now_Truck_20_LP_40_50_10_6rep.csv,Middle,47255,476.4,410.3612,
prev_Truck_20_LP_0_0_100_6rep.csv,Max,103200,482.768,429.9404,
now_Truck_20_LP_0_0_100_6rep.csv,Max,108600,489.104,426.9424,
prev_Truck_20_LP_40_50_10_6rep.csv,Max,54356,464.92,427.1256,
now_Truck_20_LP_40_50_10_6rep.csv,Max,55624,499.736,423.944,
prev_Truck_20_LP_0_0_100_7rep.csv,Min,67200,451.544,393.4896,
now_Truck_20_LP_0_0_100_7rep.csv,Min,65800,431.256,380.2128,
prev_Truck_20_LP_40_50_10_7rep.csv,Min,38182,457.304,386.6524,
now_Truck_20_LP_40_50_10_7rep.csv,Min,34605,447.488,384.7324,
prev_Truck_20_LP_0_0_100_7rep.csv,Middle,102400,492.688,425.3124,
now_Truck_20_LP_0_0_100_7rep.csv,Middle,102600,488.296,427.0316,
prev_Truck_20_LP_40_50_10_7rep.csv,Middle,54235,469.68,422.0796,
now_Truck_20_LP_40_50_10_7rep.csv,Middle,52659,474.944,421.354,
prev_Truck_20_LP_0_0_100_7rep.csv,Max,115000,481.128,441.9504,
now_Truck_20_LP_0_0_100_7rep.csv,Max,117200,490.952,443.5576,
prev_Truck_20_LP_40_50_10_7rep.csv,Max,60784,481.664,440.0084,
now_Truck_20_LP_40_50_10_7rep.csv,Max,57410,505.96,443.2204,
prev_Truck_20_LP_0_0_100_8rep.csv,Min,59800,434.08,382.9208,
now_Truck_20_LP_0_0_100_8rep.csv,Min,58800,430.52,380.5796,
prev_Truck_20_LP_40_50_10_8rep.csv,Min,34374,434.984,378.5184,
now_Truck_20_LP_40_50_10_8rep.csv,Min,28708,413.224,376.2884,
prev_Truck_20_LP_0_0_100_8rep.csv,Middle,100000,489,426.138,
now_Truck_20_LP_0_0_100_8rep.csv,Middle,98600,489.888,418.2412,
prev_Truck_20_LP_40_50_10_8rep.csv,Middle,52872,460.24,419.108,
now_Truck_20_LP_40_50_10_8rep.csv,Middle,50956,484.056,419.2676,
prev_Truck_20_LP_0_0_100_8rep.csv,Max,113800,504.168,439.1944,
now_Truck_20_LP_0_0_100_8rep.csv,Max,113200,492.072,435.6752,
prev_Truck_20_LP_40_50_10_8rep.csv,Max,61555,484.408,436.0552,
now_Truck_20_LP_40_50_10_8rep.csv,Max,59065,484.016,430.3388,
prev_Truck_20_LP_0_0_100_9rep.csv,Min,61600,416.808,384.856,
now_Truck_20_LP_0_0_100_9rep.csv,Min,60400,466.312,379.7256,
prev_Truck_20_LP_40_50_10_9rep.csv,Min,34267,451.84,386.162,
now_Truck_20_LP_40_50_10_9rep.csv,Min,31006,453.392,377.7228,
prev_Truck_20_LP_0_0_100_9rep.csv,Middle,96200,457.072,409.2772,
now_Truck_20_LP_0_0_100_9rep.csv,Middle,89200,463.272,405.1716,
prev_Truck_20_LP_40_50_10_9rep.csv,Middle,51919,476.144,411.4216,
now_Truck_20_LP_40_50_10_9rep.csv,Middle,46813,465.784,405.7852,
prev_Truck_20_LP_0_0_100_9rep.csv,Max,114600,493.984,430.8888,
now_Truck_20_LP_0_0_100_9rep.csv,Max,104200,474.264,421.4464,
prev_Truck_20_LP_40_50_10_9rep.csv,Max,60152,481.096,435.738,
now_Truck_20_LP_40_50_10_9rep.csv,Max,52352,480.656,418.3804,
prev_Truck_20_LP_0_0_100_10rep.csv,Min,59000,417.392,378.0012,
now_Truck_20_LP_0_0_100_10rep.csv,Min,59200,425,374.624,
prev_Truck_20_LP_40_50_10_10rep.csv,Min,34613,422.096,376.6128,
now_Truck_20_LP_40_50_10_10rep.csv,Min,31526,406.744,374.8408,
prev_Truck_20_LP_0_0_100_10rep.csv,Middle,99400,473.6,417.1044,
now_Truck_20_LP_0_0_100_10rep.csv,Middle,100200,464.312,414.7564,
prev_Truck_20_LP_40_50_10_10rep.csv,Middle,52890,478.4,413.0676,
now_Truck_20_LP_40_50_10_10rep.csv,Middle,47376,447.368,413.8972,
prev_Truck_20_LP_0_0_100_10rep.csv,Max,111000,505.96,428.0428,
now_Truck_20_LP_0_0_100_10rep.csv,Max,114200,483.008,437.2152,
prev_Truck_20_LP_40_50_10_10rep.csv,Max,61093,494.728,433.368,
now_Truck_20_LP_40_50_10_10rep.csv,Max,55531,490.456,442.4996,
prev_Truck_20_LP_0_0_100_11rep.csv,Min,61400,454.784,384.2976,
now_Truck_20_LP_0_0_100_11rep.csv,Min,62200,421.992,383.4668,
prev_Truck_20_LP_40_50_10_11rep.csv,Min,35932,461.632,391.7228,
now_Truck_20_LP_40_50_10_11rep.csv,Min,32778,438.824,382.0056,
prev_Truck_20_LP_0_0_100_11rep.csv,Middle,97600,479.152,417.3212,
now_Truck_20_LP_0_0_100_11rep.csv,Middle,99000,637.568,470.9336,
prev_Truck_20_LP_40_50_10_11rep.csv,Middle,52681,468.92,414.7792,
