Filename,Type,Objective_value,C_max
now_Truck_20_LP_0_0_100_7rep.csv, Middle,102600,
prev_Truck_20_LP_40_50_10_7rep.csv, Middle,54235,
now_Truck_20_LP_40_50_10_7rep.csv, Middle,52659,
prev_Truck_20_LP_0_0_100_7rep.csv, Max,115000,
now_Truck_20_LP_0_0_100_7rep.csv, Max,117200,
prev_Truck_20_LP_40_50_10_7rep.csv, Max,60784,
now_Truck_20_LP_40_50_10_7rep.csv, Max,57410,
prev_Truck_20_LP_0_0_100_8rep.csv, Min,59800,
now_Truck_20_LP_0_0_100_8rep.csv, Min,58800,
prev_Truck_20_LP_40_50_10_8rep.csv, Min,34374,
now_Truck_20_LP_40_50_10_8rep.csv, Min,28708,
prev_Truck_20_LP_0_0_100_8rep.csv, Middle,100000,
now_Truck_20_LP_0_0_100_8rep.csv, Middle,98600,
prev_Truck_20_LP_40_50_10_8rep.csv, Middle,52872,
now_Truck_20_LP_40_50_10_8rep.csv, Middle,50956,
prev_Truck_20_LP_0_0_100_8rep.csv, Max,113800,
now_Truck_20_LP_0_0_100_8rep.csv, Max,113200,
prev_Truck_20_LP_40_50_10_8rep.csv, Max,61555,
now_Truck_20_LP_40_50_10_8rep.csv, Max,59065,
prev_Truck_20_LP_0_0_100_9rep.csv, Min,61600,
now_Truck_20_LP_0_0_100_9rep.csv, Min,60400,
prev_Truck_20_LP_40_50_10_9rep.csv, Min,34267,
now_Truck_20_LP_40_50_10_9rep.csv, Min,31006,
prev_Truck_20_LP_0_0_100_9rep.csv, Middle,96200,
now_Truck_20_LP_0_0_100_9rep.csv, Middle,89200,
prev_Truck_20_LP_40_50_10_9rep.csv, Middle,51919,
now_Truck_20_LP_40_50_10_9rep.csv, Middle,46813,
prev_Truck_20_LP_0_0_100_9rep.csv, Max,114600,
now_Truck_20_LP_0_0_100_9rep.csv, Max,104200,
prev_Truck_20_LP_40_50_10_9rep.csv, Max,60152,
now_Truck_20_LP_40_50_10_9rep.csv, Max,52352,
prev_Truck_20_LP_0_0_100_10rep.csv, Min,59000,
now_Truck_20_LP_0_0_100_10rep.csv, Min,59200,
prev_Truck_20_LP_40_50_10_10rep.csv, Min,34613,
now_Truck_20_LP_40_50_10_10rep.csv, Min,31526,
prev_Truck_20_LP_0_0_100_10rep.csv, Middle,99400,
now_Truck_20_LP_0_0_100_10rep.csv, Middle,100200,
prev_Truck_20_LP_40_50_10_10rep.csv, Middle,52890,
now_Truck_20_LP_40_50_10_10rep.csv, Middle,47376,
prev_Truck_20_LP_0_0_100_10rep.csv, Max,111000,
now_Truck_20_LP_0_0_100_10rep.csv, Max,114200,
prev_Truck_20_LP_40_50_10_10rep.csv, Max,61093,
now_Truck_20_LP_40_50_10_10rep.csv, Max,55531,
prev_Truck_20_LP_0_0_100_11rep.csv, Min,61400,
now_Truck_20_LP_0_0_100_11rep.csv, Min,62200,
prev_Truck_20_LP_40_50_10_11rep.csv, Min,35932,
now_Truck_20_LP_40_50_10_11rep.csv, Min,32778,
prev_Truck_20_LP_0_0_100_11rep.csv, Middle,97600,
now_Truck_20_LP_0_0_100_11rep.csv, Middle,99000,
prev_Truck_20_LP_40_50_10_11rep.csv, Middle,52681,
now_Truck_20_LP_40_50_10_11rep.csv, Middle,50709,
prev_Truck_20_LP_0_0_100_11rep.csv, Max,110600,
now_Truck_20_LP_0_0_100_11rep.csv, Max,115800,
prev_Truck_20_LP_40_50_10_11rep.csv, Max,60939,
now_Truck_20_LP_40_50_10_11rep.csv, Max,58297,
prev_Truck_20_LP_0_0_100_12rep.csv, Min,60000,
now_Truck_20_LP_0_0_100_12rep.csv, Min,60000,
prev_Truck_20_LP_40_50_10_12rep.csv, Min,34819,
now_Truck_20_LP_40_50_10_12rep.csv, Min,28806,
prev_Truck_20_LP_0_0_100_12rep.csv, Middle,94000,
now_Truck_20_LP_0_0_100_12rep.csv, Middle,94600,
prev_Truck_20_LP_40_50_10_12rep.csv, Middle,50558,
now_Truck_20_LP_40_50_10_12rep.csv, Middle,49197,
prev_Truck_20_LP_0_0_100_12rep.csv, Max,108000,
now_Truck_20_LP_0_0_100_12rep.csv, Max,110400,
prev_Truck_20_LP_40_50_10_12rep.csv, Max,59323,
now_Truck_20_LP_40_50_10_12rep.csv, Max,55479,
prev_Truck_20_LP_0_0_100_13rep.csv, Min,59400,
now_Truck_20_LP_0_0_100_13rep.csv, Min,59800,
