File_name,Type,Cost,C_max
prev_Truck_20_LP_0_0_100_5rep.csv,Min,63600,405.464
now_Truck_20_LP_0_0_100_5rep.csv,Min,57200,415.328
prev_Truck_20_LP_40_50_10_5rep.csv,Min,34687,413.456
now_Truck_20_LP_40_50_10_5rep.csv,Min,28677,392.352
prev_Truck_20_LP_0_0_100_5rep.csv,Middle,105200,458.536
now_Truck_20_LP_0_0_100_5rep.csv,Middle,88400,445.552
prev_Truck_20_LP_40_50_10_5rep.csv,Middle,53272,457.392
now_Truck_20_LP_40_50_10_5rep.csv,Middle,44056,462.352
prev_Truck_20_LP_0_0_100_5rep.csv,Max,119600,501.416
now_Truck_20_LP_0_0_100_5rep.csv,Max,103400,472.848
prev_Truck_20_LP_40_50_10_5rep.csv,Max,61920,475.536
now_Truck_20_LP_40_50_10_5rep.csv,Max,53189,486.976
prev_Truck_20_LP_0_0_100_6rep.csv,Min,56400,413.536
now_Truck_20_LP_0_0_100_6rep.csv,Min,58400,426.856
prev_Truck_20_LP_40_50_10_6rep.csv,Min,32129,413.208
now_Truck_20_LP_40_50_10_6rep.csv,Min,27092,412.352
prev_Truck_20_LP_0_0_100_6rep.csv,Middle,89400,454.144
now_Truck_20_LP_0_0_100_6rep.csv,Middle,93200,477.856
prev_Truck_20_LP_40_50_10_6rep.csv,Middle,47946,457.224
now_Truck_20_LP_40_50_10_6rep.csv,Middle,47255,476.4
prev_Truck_20_LP_0_0_100_6rep.csv,Max,103200,482.768
now_Truck_20_LP_0_0_100_6rep.csv,Max,108600,489.104
prev_Truck_20_LP_40_50_10_6rep.csv,Max,54356,464.92
now_Truck_20_LP_40_50_10_6rep.csv,Max,55624,499.736
prev_Truck_20_LP_0_0_100_7rep.csv,Min,67200,451.544
now_Truck_20_LP_0_0_100_7rep.csv,Min,65800,431.256
prev_Truck_20_LP_40_50_10_7rep.csv,Min,38182,457.304
now_Truck_20_LP_40_50_10_7rep.csv,Min,34605,447.488
prev_Truck_20_LP_0_0_100_7rep.csv,Middle,102400,492.688
now_Truck_20_LP_0_0_100_7rep.csv,Middle,102600,488.296
prev_Truck_20_LP_40_50_10_7rep.csv,Middle,54235,469.68
now_Truck_20_LP_40_50_10_7rep.csv,Middle,52659,474.944
prev_Truck_20_LP_0_0_100_7rep.csv,Max,115000,481.128
now_Truck_20_LP_0_0_100_7rep.csv,Max,117200,490.952
prev_Truck_20_LP_40_50_10_7rep.csv,Max,60784,481.664
now_Truck_20_LP_40_50_10_7rep.csv,Max,57410,505.96
prev_Truck_20_LP_0_0_100_8rep.csv,Min,59800,434.08
now_Truck_20_LP_0_0_100_8rep.csv,Min,58800,430.52
prev_Truck_20_LP_40_50_10_8rep.csv,Min,34374,434.984
now_Truck_20_LP_40_50_10_8rep.csv,Min,28708,413.224
prev_Truck_20_LP_0_0_100_8rep.csv,Middle,100000,489.0
now_Truck_20_LP_0_0_100_8rep.csv,Middle,98600,489.888
prev_Truck_20_LP_40_50_10_8rep.csv,Middle,52872,460.24
now_Truck_20_LP_40_50_10_8rep.csv,Middle,50956,484.056
prev_Truck_20_LP_0_0_100_8rep.csv,Max,113800,504.168
now_Truck_20_LP_0_0_100_8rep.csv,Max,113200,492.072
prev_Truck_20_LP_40_50_10_8rep.csv,Max,61555,484.408
now_Truck_20_LP_40_50_10_8rep.csv,Max,59065,484.016
prev_Truck_20_LP_0_0_100_9rep.csv,Min,61600,416.808
now_Truck_20_LP_0_0_100_9rep.csv,Min,60400,466.312
prev_Truck_20_LP_40_50_10_9rep.csv,Min,34267,451.84
now_Truck_20_LP_40_50_10_9rep.csv,Min,31006,453.392
prev_Truck_20_LP_0_0_100_9rep.csv,Middle,96200,457.072
now_Truck_20_LP_0_0_100_9rep.csv,Middle,89200,463.272
prev_Truck_20_LP_40_50_10_9rep.csv,Middle,51919,476.144
