File_name,Type,Objective_value,C_max,C_avg
prev_Truck_20_LP_40_50_10_1rep.csv,Min,25570,420.216,388.50200000000007
now_Truck_20_LP_40_50_10_1rep.csv,Min,22648,434.192,380.99559999999997
prev_Truck_20_LP_40_50_10_1rep.csv,Middle,37926,480.92,416.04239999999993
now_Truck_20_LP_40_50_10_1rep.csv,Middle,37414,477.056,416.062
prev_Truck_20_LP_40_50_10_1rep.csv,Max,44443,498.736,431.62120000000004
now_Truck_20_LP_40_50_10_1rep.csv,Max,42684,498.96,433.60599999999994
prev_Truck_20_LP_40_50_10_2rep.csv,Min,21125,407.048,371.10319999999996
now_Truck_20_LP_40_50_10_2rep.csv,Min,23036,443.4,380.7876
prev_Truck_20_LP_40_50_10_2rep.csv,Middle,34422,450.8,402.70439999999996
now_Truck_20_LP_40_50_10_2rep.csv,Middle,34293,458.568,407.6436
prev_Truck_20_LP_40_50_10_2rep.csv,Max,40953,478.12,422.7428
now_Truck_20_LP_40_50_10_2rep.csv,Max,41468,471.352,419.408
prev_Truck_20_LP_40_50_10_3rep.csv,Min,22379,427.456,375.46799999999996
now_Truck_20_LP_40_50_10_3rep.csv,Min,23557,430.448,378.2912
prev_Truck_20_LP_40_50_10_3rep.csv,Middle,36771,499.808,417.4852000000001
now_Truck_20_LP_40_50_10_3rep.csv,Middle,39863,532.576,423.846
prev_Truck_20_LP_40_50_10_3rep.csv,Max,43594,480.264,436.5419999999999
now_Truck_20_LP_40_50_10_3rep.csv,Max,46461,510.656,434.9880000000001
prev_Truck_20_LP_40_50_10_4rep.csv,Min,24053,421.528,380.3084
now_Truck_20_LP_40_50_10_4rep.csv,Min,23061,435.712,376.6716
prev_Truck_20_LP_40_50_10_4rep.csv,Middle,38841,464.16,411.6684
now_Truck_20_LP_40_50_10_4rep.csv,Middle,38545,459.776,414.014
prev_Truck_20_LP_40_50_10_4rep.csv,Max,45174,500.064,432.3112
now_Truck_20_LP_40_50_10_4rep.csv,Max,45739,508.08,443.00879999999995
prev_Truck_20_LP_40_50_10_5rep.csv,Min,24567,451.112,382.5096
now_Truck_20_LP_40_50_10_5rep.csv,Min,21015,439.76,380.314
prev_Truck_20_LP_40_50_10_5rep.csv,Middle,41059,461.72,423.7764
now_Truck_20_LP_40_50_10_5rep.csv,Middle,37191,472.24,414.7384
prev_Truck_20_LP_40_50_10_5rep.csv,Max,49106,485.32,434.434
now_Truck_20_LP_40_50_10_5rep.csv,Max,43249,584.968,458.8468000000001
prev_Truck_20_LP_40_50_10_6rep.csv,Min,25028,436.688,383.22040000000004
now_Truck_20_LP_40_50_10_6rep.csv,Min,25602,601.6,409.2124
prev_Truck_20_LP_40_50_10_6rep.csv,Middle,41122,491.592,426.4548000000001
now_Truck_20_LP_40_50_10_6rep.csv,Middle,42241,467.88,425.054
prev_Truck_20_LP_40_50_10_6rep.csv,Max,49777,494.432,445.2656
now_Truck_20_LP_40_50_10_6rep.csv,Max,46781,507.856,443.1028
prev_Truck_20_LP_40_50_10_7rep.csv,Min,21861,424.104,378.3088
now_Truck_20_LP_40_50_10_7rep.csv,Min,22018,422.712,377.14759999999995
prev_Truck_20_LP_40_50_10_7rep.csv,Middle,37998,479.768,407.4896
now_Truck_20_LP_40_50_10_7rep.csv,Middle,37044,465.264,413.62160000000006
prev_Truck_20_LP_40_50_10_7rep.csv,Max,43463,482.904,427.7468
now_Truck_20_LP_40_50_10_7rep.csv,Max,42010,496.096,436.19720000000007
prev_Truck_20_LP_40_50_10_8rep.csv,Min,25605,425.624,385.22439999999995
now_Truck_20_LP_40_50_10_8rep.csv,Min,19718,409.768,367.67719999999997
prev_Truck_20_LP_40_50_10_8rep.csv,Middle,43019,465.072,425.03639999999996
now_Truck_20_LP_40_50_10_8rep.csv,Middle,34633,458.312,408.28999999999996
prev_Truck_20_LP_40_50_10_8rep.csv,Max,50008,508.088,443.1384
now_Truck_20_LP_40_50_10_8rep.csv,Max,41019,494.824,428.71759999999995
prev_Truck_20_LP_40_50_10_9rep.csv,Min,23330,404.68,377.3072
now_Truck_20_LP_40_50_10_9rep.csv,Min,20173,450.768,373.1424
prev_Truck_20_LP_40_50_10_9rep.csv,Middle,39923,446.84,414.9388
now_Truck_20_LP_40_50_10_9rep.csv,Middle,37250,486.88,413.4324
prev_Truck_20_LP_40_50_10_9rep.csv,Max,47579,495.072,429.71840000000003
now_Truck_20_LP_40_50_10_9rep.csv,Max,44538,539.312,443.0879999999999
prev_Truck_20_LP_40_50_10_10rep.csv,Min,20872,415.888,368.5212
now_Truck_20_LP_40_50_10_10rep.csv,Min,20578,415.528,373.62239999999997
prev_Truck_20_LP_40_50_10_10rep.csv,Middle,39732,464.504,416.8088000000001
now_Truck_20_LP_40_50_10_10rep.csv,Middle,38476,458.392,418.8656
prev_Truck_20_LP_40_50_10_10rep.csv,Max,47559,544.08,438.86400000000003
now_Truck_20_LP_40_50_10_10rep.csv,Max,43755,500.872,445.4996
prev_Truck_20_LP_40_50_10_11rep.csv,Min,21684,409.608,372.27360000000004
now_Truck_20_LP_40_50_10_11rep.csv,Min,22369,511.136,394.0212
prev_Truck_20_LP_40_50_10_11rep.csv,Middle,36900,453.064,408.9168000000001
now_Truck_20_LP_40_50_10_11rep.csv,Middle,36153,457.456,411.03639999999996
prev_Truck_20_LP_40_50_10_11rep.csv,Max,43120,488.016,432.9184
now_Truck_20_LP_40_50_10_11rep.csv,Max,43058,489.456,429.314
prev_Truck_20_LP_40_50_10_12rep.csv,Min,24287,421.376,376.8184
now_Truck_20_LP_40_50_10_12rep.csv,Min,22267,423.96,374.2308
prev_Truck_20_LP_40_50_10_12rep.csv,Middle,41347,471.784,421.5304
now_Truck_20_LP_40_50_10_12rep.csv,Middle,37211,451.016,410.5544000000001
prev_Truck_20_LP_40_50_10_12rep.csv,Max,48128,492.272,440.7772000000001
now_Truck_20_LP_40_50_10_12rep.csv,Max,45491,502.016,435.3571999999999
prev_Truck_20_LP_40_50_10_13rep.csv,Min,24357,427.28,388.286
now_Truck_20_LP_40_50_10_13rep.csv,Min,25235,414.424,384.6667999999999
prev_Truck_20_LP_40_50_10_13rep.csv,Middle,40093,466.04,424.13
now_Truck_20_LP_40_50_10_13rep.csv,Middle,40619,497.568,424.1816
prev_Truck_20_LP_40_50_10_13rep.csv,Max,46671,502.392,442.04439999999994
now_Truck_20_LP_40_50_10_13rep.csv,Max,48897,496.744,444.40680000000003
prev_Truck_20_LP_40_50_10_14rep.csv,Min,26030,445.104,384.6788
now_Truck_20_LP_40_50_10_14rep.csv,Min,22761,429.504,379.5408
prev_Truck_20_LP_40_50_10_14rep.csv,Middle,42430,467.952,427.0415999999999
now_Truck_20_LP_40_50_10_14rep.csv,Middle,36941,461.168,414.2288
prev_Truck_20_LP_40_50_10_14rep.csv,Max,49247,500.824,444.31000000000006
now_Truck_20_LP_40_50_10_14rep.csv,Max,44119,530.968,438.71760000000006
prev_Truck_20_LP_40_50_10_15rep.csv,Min,24123,452.984,389.0252
now_Truck_20_LP_40_50_10_15rep.csv,Min,24308,429.888,387.3988
prev_Truck_20_LP_40_50_10_15rep.csv,Middle,34865,459.184,410.31399999999996
now_Truck_20_LP_40_50_10_15rep.csv,Middle,39511,469.208,428.4840000000001
prev_Truck_20_LP_40_50_10_15rep.csv,Max,40838,486.352,434.8376
now_Truck_20_LP_40_50_10_15rep.csv,Max,47181,506.168,444.65919999999994
prev_Truck_20_LP_40_50_10_16rep.csv,Min,23924,410.52,377.51159999999993
now_Truck_20_LP_40_50_10_16rep.csv,Min,20322,405.112,369.1744
