Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 150)","(625, 0, 200)"
1,1,"(375, 0, 0)","(625, 0, 200)"
2,2,"(125, 0, 50)","(625, 0, 200)"
3,3,"(625, 0, 150)","(125, 0, 200)"
4,4,"(125, 0, 0)","(375, 0, 200)"
5,5,"(125, 0, 200)","(125, 0, 100)"
6,6,"(125, 0, 200)","(125, 0, 150)"
7,7,"(125, 0, 200)","(375, 0, 150)"
8,8,"(375, 0, 50)","(625, 0, 200)"
9,9,"(375, 0, 200)","(625, 0, 100)"
10,10,"(375, 0, 100)","(375, 0, 200)"
11,11,"(625, 0, 200)","(125, 0, 50)"
12,12,"(625, 0, 50)","(375, 0, 200)"
13,13,"(125, 0, 200)","(625, 0, 100)"
14,14,"(625, 0, 0)","(375, 0, 200)"
