Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 100)","(125, 0, 50)"
1,1,"(375, 0, 50)","(125, 0, 200)"
2,2,"(625, 0, 0)","(125, 0, 150)"
3,3,"(625, 0, 50)","(625, 0, 150)"
4,4,"(125, 0, 150)","(125, 0, 100)"
5,5,"(125, 0, 0)","(125, 0, 100)"
6,6,"(125, 0, 200)","(125, 0, 0)"
7,7,"(125, 0, 50)","(125, 0, 200)"
8,8,"(375, 0, 50)","(375, 0, 150)"
9,9,"(375, 0, 100)","(625, 0, 0)"
10,10,"(625, 0, 200)","(125, 0, 150)"
11,11,"(625, 0, 50)","(125, 0, 50)"
12,12,"(625, 0, 150)","(625, 0, 50)"
13,13,"(125, 0, 100)","(125, 0, 50)"
14,14,"(375, 0, 50)","(625, 0, 0)"
15,15,"(125, 0, 200)","(375, 0, 50)"
16,16,"(625, 0, 50)","(125, 0, 0)"
17,17,"(125, 0, 0)","(375, 0, 50)"
18,18,"(375, 0, 50)","(375, 0, 150)"
19,19,"(125, 0, 100)","(375, 0, 50)"
