Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-107,Route-107,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,364.424,0.2385097,21.0,3.067809523809523,17.35353,7.16,52.232,,,,,,,,
Truck-121,Route-121,(425.0 0.0 205.5),(375.0 0.0 100.0),344.8487,365.032,0.4500324,17.0,3.825411764705881,21.47247,9.984,49.928,,,,,,,,
Truck-102,Route-102,(425.0 0.0 155.5),(625.0 0.0 200.0),359.1861,367.288,0.1368891,25.0,2.6915200000000006,14.69152,7.176,55.024,,,,,,,,
Truck-115,Route-115,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,372.568,0.3950725,21.0,3.455619047619047,17.74133,7.144,60.376,,,,,,,,
Truck-116,Route-116,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,374.032,0.4232173,21.0,3.5253333333333323,17.81105,9.968,52.976,,,,,,,,
Truck-100,Route-100,(675.0 0.0 -5.5),(625.0 0.0 150.0),366.3548,374.528,0.123175,29.0,2.5699310344827593,12.91476,36.104,33.344,,,,,,,,
Truck-104,Route-104,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,377.992,0.4993456,21.0,3.7139047619047627,17.99962,7.168,65.816,,,,,,,,
Truck-127,Route-127,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,386.496,0.6628294,21.0,4.118857142857142,18.40457,9.976,65.472,,,,,,,,
Truck-106,Route-106,(175.0 0.0 205.5),(625.0 0.0 100.0),380.6922,386.688,0.07430444,37.0,2.342918918918919,10.45103,7.168,74.448,,,,,,,,
Truck-122,Route-122,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,388.808,0.1517377,35.0,2.5373714285714284,11.1088,9.8,73.856,,,,,,,,
Truck-117,Route-117,(425.0 0.0 55.5),(125.0 0.0 200.0),373.5235,391.584,0.2456433,33.0,2.7752727272727276,11.86618,45.528,40.928,,,,,,,,
Truck-108,Route-108,(175.0 0.0 155.5),(625.0 0.0 0.0),391.4453,399.024,0.0828773,43.0,2.3028837209302324,9.279628,31.432,62.448,,,,,,,,
Truck-128,Route-128,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,405.224,0.304017,37.0,2.8438918918918916,10.952,9.952,90.136,,,,,,,,
Truck-118,Route-118,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,406.792,0.2671614,39.0,2.7382564102564095,10.43056,9.8,91.88,,,,,,,,
Truck-105,Route-105,(175.0 0.0 55.5),(625.0 0.0 150.0),405.7827,418.328,0.1185955,51.0,2.3201568627450975,8.20251,42.176,70.96,,,,,,,,
Truck-124,Route-124,(425.0 0.0 105.5),(625.0 0.0 0.0),395.0296,426.28,0.3288491,45.0,2.8062222222222215,9.472889,52.208,68.992,,,,,,,,
Truck-110,Route-110,(425.0 0.0 105.5),(375.0 0.0 100.0),387.8609,426.552,0.4403677,41.0,3.086634146341464,10.40371,37.912,62.592,,,,,,,,
Truck-113,Route-113,(675.0 0.0 155.5),(375.0 0.0 50.0),369.9391,441.544,1.023817,31.0,4.565935483870967,14.24335,85.6,47.8,,,,,,,,
Truck-125,Route-125,(675.0 0.0 155.5),(125.0 0.0 50.0),387.8609,456.384,0.7799044,41.0,3.8142439024390247,11.13132,89.272,62.0,,,,,,,,
Truck-126,Route-126,(675.0 0.0 55.5),(625.0 0.0 50.0),430.8731,487.168,0.4301487,65.0,2.8795076923076923,7.494892,111.544,70.536,,,,,,,,
