Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-1,Route-1,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,340.168,-0.02656808,2.677867,7.016,28.264,,,427.544,443.448,443.448,0.2433224,0.4935143,0.3797907
Truck-0,Route-0,(425.0 0.0 194.5),(625.0 0.0 100.0),355.6017,354.528,-0.01931055,2.370783,16.232,33.328
Truck-18,Route-18,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,356.64,0.08886744,2.697144,6.992,44.688
Truck-8,Route-8,(175.0 0.0 194.5),(625.0 0.0 0.0),362.7704,358.512,-0.06784124,2.167111,16.216,37.192
Truck-5,Route-5,(675.0 0.0 205.5),(125.0 0.0 50.0),366.3548,363.64,-0.04091269,2.194483,7.008,51.704
Truck-24,Route-24,(425.0 0.0 205.5),(625.0 0.0 50.0),366.3548,369.92,0.05373007,2.411035,6.992,58.024
Truck-3,Route-3,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,371.088,0.3666208,3.385144,7.008,59.08
Truck-11,Route-11,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,380.056,0.2753779,2.965037,7,68.048
Truck-21,Route-21,(425.0 0.0 155.5),(125.0 0.0 150.0),362.7704,383.08,0.3235532,3.077037,36.312,38.952
Truck-19,Route-19,(175.0 0.0 55.5),(125.0 0.0 200.0),373.5235,385.408,0.1616426,2.588121,35.168,45.36
Truck-6,Route-6,(675.0 0.0 155.5),(125.0 0.0 150.0),380.6922,388.144,0.09234861,2.382271,30.912,49.152
Truck-4,Route-4,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,390.84,0.3690048,3.132414,7.008,78.808
Truck-20,Route-20,(425.0 0.0 105.5),(375.0 0.0 150.0),366.3548,391.288,0.3757564,3.147862,44.264,33.024
Truck-16,Route-16,(175.0 0.0 155.5),(375.0 0.0 0.0),373.5235,393.064,0.2657726,2.820121,33.816,51.32
