Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT,,,,,,,,
Truck-3,Route-3,(175.0 0.0 205.5),(375.0 0.0 0.0),350.196,7.648,42.528,,Truck-3,Route-3,(175.0 0.0 205.5),(375.0 0.0 0.0),355.16,7.548,47.628
Truck-4,Route-4,(675.0 0.0 105.5),(125.0 0.0 200.0),355.476,23.812,31.644,,Truck-4,Route-4,(675.0 0.0 105.5),(125.0 0.0 200.0),355.216,23.724,31.504
Truck-2,Route-2,(425.0 0.0 194.5),(625.0 0.0 0.0),357.168,20.672,36.484,,Truck-2,Route-2,(425.0 0.0 194.5),(625.0 0.0 0.0),355.976,17.428,38.568
Truck-5,Route-5,(675.0 0.0 55.5),(125.0 0.0 200.0),362.716,27.028,35.672,,Truck-5,Route-5,(675.0 0.0 55.5),(125.0 0.0 200.0),360.996,23.724,37.284
Truck-8,Route-8,(675.0 0.0 155.5),(375.0 0.0 200.0),374.496,39.632,34.848,,Truck-8,Route-8,(675.0 0.0 155.5),(375.0 0.0 200.0),375.616,39.888,35.744
Truck-9,Route-9,(425.0 0.0 155.5),(375.0 0.0 100.0),369.952,38.248,31.684,,Truck-9,Route-9,(425.0 0.0 155.5),(375.0 0.0 100.0),369.768,38.412,31.368
Truck-0,Route-0,(425.0 0.0 155.5),(375.0 0.0 200.0),379.336,39.48,39.844,,Truck-0,Route-0,(425.0 0.0 155.5),(375.0 0.0 200.0),380.2,39.488,40.728
Truck-6,Route-6,(425.0 0.0 155.5),(375.0 0.0 0.0),377.708,37.156,40.532,,Truck-6,Route-6,(425.0 0.0 155.5),(375.0 0.0 0.0),378.048,37.3,40.768
Truck-7,Route-7,(675.0 0.0 105.5),(125.0 0.0 200.0),398.892,39.476,59.404,,Truck-7,Route-7,(675.0 0.0 105.5),(125.0 0.0 200.0),400.856,39.864,61.004
Truck-1,Route-1,(425.0 0.0 155.5),(125.0 0.0 150.0),406.592,52.228,54.348,,Truck-1,Route-1,(425.0 0.0 155.5),(125.0 0.0 150.0),407.44,52.248,55.204
Truck-3,Route-3,(175.0 0.0 205.5),(375.0 0.0 0.0),360.296,7.528,47.788,,,,,,,,
Truck-4,Route-4,(675.0 0.0 105.5),(125.0 0.0 200.0),360.656,23.704,31.964,,,,,,,,
Truck-2,Route-2,(425.0 0.0 194.5),(625.0 0.0 0.0),361.016,17.412,38.62,,,,,,,,
Truck-5,Route-5,(675.0 0.0 55.5),(125.0 0.0 200.0),366.732,23.704,38.04,,,,,,,,
Truck-8,Route-8,(675.0 0.0 155.5),(375.0 0.0 200.0),381.412,40.68,35.744,,,,,,,,
Truck-0,Route-0,(425.0 0.0 155.5),(375.0 0.0 200.0),382.136,39.524,37.624,,,,,,,,
Truck-6,Route-6,(425.0 0.0 155.5),(375.0 0.0 0.0),381.92,38.332,38.608,,,,,,,,
Truck-9,Route-9,(425.0 0.0 155.5),(375.0 0.0 100.0),379.316,40.604,33.72,,,,,,,,
Truck-7,Route-7,(675.0 0.0 105.5),(125.0 0.0 200.0),404.556,40.568,59.008,,,,,,,,
Truck-1,Route-1,(425.0 0.0 155.5),(125.0 0.0 150.0),409.976,55.604,49.384,,,,,,,,
