Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-5,Route-5,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,340.328,-0.02269055,2.688534,6.92,28.376,,,421.008,425.392,425.392,0.1003603,0.1557328,0.1280465
Truck-13,Route-13,(675.0 0.0 205.5),(375.0 0.0 100.0),344.8487,344.088,-0.01696039,2.593412,6.912,32.104
Truck-4,Route-4,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,347.016,0.04832536,2.765646,6.92,35.064
Truck-9,Route-9,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,347.976,0.06973117,2.822119,6.912,36.056
Truck-17,Route-17,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,349.568,0.1052279,2.915764,9.208,35.368
Truck-1,Route-1,(425.0 0.0 194.5),(625.0 0.0 50.0),359.1861,357.64,-0.02612188,2.305601,16.488,36.08
Truck-10,Route-10,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,358.6,0.126547,2.790477,6.912,46.624
Truck-11,Route-11,(175.0 0.0 155.5),(125.0 0.0 150.0),362.7704,363.016,0.003912272,2.333925,30.552,27.4
Truck-7,Route-7,(425.0 0.0 155.5),(625.0 0.0 200.0),359.1861,363.232,0.06835949,2.52928,6.912,51.232
Truck-16,Route-16,(175.0 0.0 205.5),(125.0 0.0 0.0),352.0174,364.96,0.2488136,3.093333,9.392,44.568
Truck-8,Route-8,(675.0 0.0 -5.5),(625.0 0.0 200.0),362.7704,367.136,0.06954821,2.486518,29.816,32.4
Truck-18,Route-18,(675.0 0.0 5.5),(125.0 0.0 200.0),369.9391,375.736,0.08288459,2.443097,6.912,63.792
Truck-14,Route-14,(175.0 0.0 205.5),(625.0 0.0 0.0),369.9391,376.488,0.093637,2.467355,6.912,64.544
Truck-0,Route-0,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,381.4,0.1638693,2.625806,6.92,69.416
Truck-3,Route-3,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,385.392,0.2869007,2.944552,6.92,73.536
Truck-19,Route-19,(675.0 0.0 155.5),(625.0 0.0 200.0),377.1078,386.472,0.1214421,2.470628,27.944,53.44
Truck-12,Route-12,(675.0 0.0 55.5),(375.0 0.0 50.0),377.1078,386.856,0.1264221,2.4816,39.704,42.12
Truck-2,Route-2,(425.0 0.0 55.5),(375.0 0.0 200.0),384.2766,390.512,0.07398788,2.32082,22.496,63
Truck-15,Route-15,(175.0 0.0 -5.5),(625.0 0.0 50.0),391.4453,409.672,0.1993187,2.550512,41.904,59.784
Truck-6,Route-6,(175.0 0.0 105.5),(625.0 0.0 150.0),402.1983,421.008,0.1840509,2.469551,35.392,68.704
Truck-112,Route-112,(425.0 0.0 205.5),(125.0 0.0 150.0),341.2643,339.096,-0.05254672,2.6064,7.376,26.872
Truck-104,Route-104,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,340.528,-0.01784345,2.701868,7.376,28.256
Truck-108,Route-108,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,351.184,0.05679962,2.693894,7.376,38.88
Truck-116,Route-116,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,355.792,0.2440057,3.281882,9.776,41.08
Truck-119,Route-119,(425.0 0.0 205.5),(125.0 0.0 0.0),352.0174,357.936,0.113782,2.758857,9.968,42.968
Truck-101,Route-101,(675.0 0.0 194.5),(625.0 0.0 200.0),355.6017,359.008,0.06126215,2.565565,26.224,27.896
Truck-111,Route-111,(675.0 0.0 5.5),(625.0 0.0 200.0),352.0174,359.008,0.1343903,2.809905,7.376,46.784
Truck-107,Route-107,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,359.896,0.236677,3.152421,7.376,47.544
Truck-102,Route-102,(425.0 0.0 155.5),(625.0 0.0 200.0),359.1861,368.848,0.1632466,2.75392,7.376,56.528
Truck-110,Route-110,(425.0 0.0 5.5),(125.0 0.0 200.0),352.0174,369.208,0.3304789,3.295619,7.376,56.904
Truck-114,Route-114,(175.0 0.0 155.5),(125.0 0.0 150.0),362.7704,370.336,0.1205278,2.605037,30.592,34.792
Truck-115,Route-115,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,372.992,0.04365063,2.354581,9.776,58.232
Truck-113,Route-113,(675.0 0.0 105.5),(375.0 0.0 200.0),362.7704,379.792,0.271172,2.955259,34.312,40.6
Truck-105,Route-105,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,388.888,0.3395873,3.065104,7.376,76.528
Truck-100,Route-100,(175.0 0.0 205.5),(625.0 0.0 100.0),380.6922,392.04,0.1406308,2.487568,7.376,79.696
Truck-109,Route-109,(425.0 0.0 105.5),(375.0 0.0 200.0),380.6922,397.72,0.2110217,2.641081,27.016,65.784
Truck-103,Route-103,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,400.92,0.2506787,2.727568,7.376,88.576
Truck-117,Route-117,(175.0 0.0 155.5),(375.0 0.0 50.0),387.8609,407.896,0.228032,2.63161,34.504,68.464
Truck-118,Route-118,(675.0 0.0 5.5),(625.0 0.0 200.0),423.7044,425.208,0.01215479,2.05259,53.232,67.088
Truck-106,Route-106,(175.0 0.0 5.5),(625.0 0.0 0.0),402.1983,425.392,0.2269479,2.55902,50.16,67.272
