Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 50)","(625, 0, 200)"
1,1,"(625, 0, 200)","(625, 0, 0)"
2,2,"(125, 0, 150)","(375, 0, 200)"
3,3,"(625, 0, 200)","(625, 0, 50)"
4,4,"(625, 0, 100)","(375, 0, 200)"
5,5,"(125, 0, 200)","(125, 0, 0)"
6,6,"(125, 0, 50)","(125, 0, 200)"
7,7,"(375, 0, 100)","(375, 0, 200)"
8,8,"(625, 0, 50)","(125, 0, 200)"
9,9,"(125, 0, 200)","(375, 0, 150)"
10,10,"(375, 0, 200)","(375, 0, 150)"
11,11,"(375, 0, 0)","(625, 0, 200)"
12,12,"(375, 0, 200)","(375, 0, 0)"
13,13,"(625, 0, 150)","(625, 0, 200)"
14,14,"(125, 0, 100)","(125, 0, 200)"
