Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-5,Route-5,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,340.92,-0.008343755,2.728001,7.168,28.792,,,430.968,429,430.968,0.135569,0.19886,0.1672145
Truck-13,Route-13,(675.0 0.0 205.5),(375.0 0.0 100.0),344.8487,344.72,-0.002868806,2.630588,7.16,32.504
Truck-4,Route-4,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,346.888,0.04547153,2.758118,7.168,34.688
Truck-17,Route-17,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,347.312,0.05492579,2.78306,9.44,32.864
Truck-9,Route-9,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,351.6,0.1505361,3.035295,7.16,39.392
Truck-7,Route-7,(425.0 0.0 155.5),(625.0 0.0 200.0),359.1861,358.432,-0.01274048,2.33728,7.16,46.184
Truck-10,Route-10,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,363.672,0.2240527,3.032,7.16,51.464
Truck-1,Route-1,(425.0 0.0 194.5),(375.0 0.0 50.0),359.1861,364.352,0.08728278,2.57408,16.44,42.848
Truck-11,Route-11,(175.0 0.0 155.5),(125.0 0.0 150.0),362.7704,366.248,0.05540141,2.453629,30.912,30.464
Truck-16,Route-16,(175.0 0.0 205.5),(125.0 0.0 0.0),352.0174,367.944,0.3061792,3.235429,9.44,47.504
Truck-8,Route-8,(675.0 0.0 -5.5),(625.0 0.0 200.0),362.7704,372.776,0.1593997,2.695407,30.912,36.968
Truck-14,Route-14,(175.0 0.0 205.5),(625.0 0.0 0.0),369.9391,373.408,0.04959846,2.368,7.16,61.312
Truck-0,Route-0,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,376.776,0.09775478,2.476645,7.168,64.656
Truck-19,Route-19,(675.0 0.0 155.5),(625.0 0.0 50.0),369.9391,378.656,0.1246354,2.537291,35.768,37.912
Truck-18,Route-18,(675.0 0.0 5.5),(125.0 0.0 200.0),369.9391,379.688,0.1393908,2.57058,7.16,67.536
Truck-3,Route-3,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,385.096,0.28244,2.934345,7.168,72.88
Truck-15,Route-15,(175.0 0.0 -5.5),(375.0 0.0 200.0),380.6922,389.984,0.1151513,2.432,29.04,55.936
Truck-12,Route-12,(675.0 0.0 55.5),(625.0 0.0 200.0),384.2766,400.896,0.1972013,2.587077,35.968,59.936
Truck-6,Route-6,(175.0 0.0 105.5),(625.0 0.0 150.0),402.1983,429.56,0.2677314,2.644082,35.968,79.608
Truck-2,Route-2,(425.0 0.0 55.5),(625.0 0.0 50.0),395.0296,430.968,0.378181,2.9104,40.208,76.776
Truck-104,Route-104,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,340.568,-0.01687462,2.704533,7.4,28.184
Truck-112,Route-112,(425.0 0.0 205.5),(125.0 0.0 150.0),341.2643,341.384,0.002900568,2.758934,7.392,29.048
Truck-102,Route-102,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,348.728,0.180875,3.248533,7.4,36.328
Truck-108,Route-108,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,349.328,0.0184789,2.596211,7.4,36.96
Truck-118,Route-118,(675.0 0.0 5.5),(625.0 0.0 200.0),352.0174,358.6,0.126547,2.790477,9.776,43.896
Truck-116,Route-116,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,359.608,0.3290921,3.506353,9.776,44.952
Truck-107,Route-107,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,363.168,0.3042343,3.324631,7.4,50.88
Truck-119,Route-119,(425.0 0.0 205.5),(125.0 0.0 0.0),352.0174,366.504,0.2784961,3.166857,9.992,51.672
Truck-101,Route-101,(675.0 0.0 194.5),(625.0 0.0 200.0),355.6017,368.272,0.2278758,2.968348,26.032,37.288
Truck-117,Route-117,(175.0 0.0 155.5),(125.0 0.0 150.0),362.7704,374.128,0.1809383,2.745481,33.872,35.232
Truck-110,Route-110,(425.0 0.0 5.5),(125.0 0.0 200.0),352.0174,388.192,0.6954336,4.199618,7.392,75.872
Truck-106,Route-106,(175.0 0.0 5.5),(625.0 0.0 200.0),387.8609,389.528,0.01897447,2.18361,7.4,77.136
Truck-103,Route-103,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,390.352,0.439404,3.34637,7.4,77.984
Truck-114,Route-114,(175.0 0.0 155.5),(375.0 0.0 50.0),387.8609,390.936,0.03499968,2.217951,30.176,55.896
Truck-113,Route-113,(675.0 0.0 105.5),(625.0 0.0 200.0),380.6922,391.128,0.1293284,2.462919,35.616,50.568
Truck-100,Route-100,(175.0 0.0 205.5),(625.0 0.0 100.0),380.6922,391.528,0.1342858,2.47373,7.4,79.216
Truck-111,Route-111,(675.0 0.0 5.5),(375.0 0.0 200.0),405.7827,410.96,0.04894316,2.175686,54.568,51.552
Truck-105,Route-105,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,415,0.3645552,2.948718,7.4,102.608
Truck-109,Route-109,(425.0 0.0 105.5),(625.0 0.0 200.0),398.614,419.96,0.2164606,2.55234,27.136,87.984
Truck-115,Route-115,(175.0 0.0 5.5),(625.0 0.0 0.0),402.1983,429,0.2622519,2.632653,47.128,77.024
