Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-14,Route-14,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,341.64,0.009104766,2.776001,6.824,29.848,,,435.424,435.272,435.424,0.08247007,0.06192197,0.07219602
Truck-2,Route-2,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,342.952,0.04089934,2.863467,6.832,31.184
Truck-10,Route-10,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,345.952,0.02460124,2.703058,6.824,34.176
Truck-4,Route-4,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,350.128,0.03499631,2.638315,6.832,38.392
Truck-8,Route-8,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,352.6,0.0860362,2.768421,6.824,40.856
Truck-6,Route-6,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,353.904,0.1129597,2.837052,6.832,42.16
Truck-7,Route-7,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,354.2,-0.08424371,2.168,6.824,42.448
Truck-0,Route-0,(175.0 0.0 205.5),(375.0 0.0 0.0),352.0174,359.064,0.1354669,2.812571,6.832,47.288
Truck-11,Route-11,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,360.688,-0.03317531,2.247703,6.824,49.008
Truck-19,Route-19,(675.0 0.0 105.5),(375.0 0.0 200.0),362.7704,368.176,0.08611666,2.525037,27.792,35.44
Truck-1,Route-1,(675.0 0.0 155.5),(125.0 0.0 100.0),366.3548,369.896,0.05336812,2.410207,30.472,34.496
Truck-9,Route-9,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,371.456,0.02168852,2.305032,6.824,59.736
Truck-3,Route-3,(425.0 0.0 205.5),(625.0 0.0 50.0),366.3548,374.616,0.1245009,2.572965,6.832,62.856
Truck-12,Route-12,(675.0 0.0 -5.5),(625.0 0.0 150.0),366.3548,377.728,0.1714003,2.680276,37.664,35.008
Truck-16,Route-16,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,381.464,0.05649412,2.327543,9.368,67.032
Truck-17,Route-17,(675.0 0.0 -5.5),(625.0 0.0 0.0),377.1078,397.352,0.2625432,2.781485,41.104,42.216
Truck-5,Route-5,(675.0 0.0 105.5),(625.0 0.0 100.0),387.8609,404.712,0.191793,2.553951,39.464,60.2
Truck-13,Route-13,(425.0 0.0 5.5),(625.0 0.0 200.0),405.7827,408.648,0.02708721,2.130353,29.752,73.976
Truck-15,Route-15,(675.0 0.0 155.5),(375.0 0.0 50.0),405.7827,419.408,0.128805,2.341333,50.752,57.64
Truck-18,Route-18,(175.0 0.0 5.5),(625.0 0.0 100.0),412.9514,435.424,0.1989587,2.462255,47.088,80.304
Truck-112,Route-112,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,339.232,-0.04925123,2.615466,7.312,26.968
Truck-110,Route-110,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,339.4,-0.04517993,2.626666,7.312,27.112
Truck-102,Route-102,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,344.472,-0.008398878,2.615999,7.328,32.192
Truck-103,Route-103,(425.0 0.0 5.5),(125.0 0.0 200.0),352.0174,349.808,-0.04247333,2.37181,7.32,37.528
Truck-105,Route-105,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,351.4,-0.01186855,2.447619,7.32,39.112
Truck-111,Route-111,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,351.528,-0.009407423,2.453715,7.312,39.256
Truck-114,Route-114,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,359.256,-0.05598823,2.194667,7.312,47.04
Truck-100,Route-100,(675.0 0.0 194.5),(375.0 0.0 200.0),355.6017,361.608,0.1080234,2.678609,24.728,31.832
Truck-109,Route-109,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,363.704,0.01487315,2.359408,7.32,51.464
Truck-101,Route-101,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,370.456,0.06180757,2.429517,37.296,28.128
Truck-104,Route-104,(425.0 0.0 194.5),(125.0 0.0 150.0),369.9391,372.32,0.03404232,2.332903,16.704,50.576
Truck-116,Route-116,(675.0 0.0 55.5),(375.0 0.0 200.0),366.3548,375.12,0.1320964,2.590345,35.568,34.544
Truck-118,Route-118,(175.0 0.0 194.5),(125.0 0.0 0.0),362.7704,376.176,0.2135652,2.821333,21.752,49.464
Truck-117,Route-117,(425.0 0.0 194.5),(125.0 0.0 150.0),369.9391,378.696,0.1252074,2.538581,21.76,48.96
Truck-115,Route-115,(425.0 0.0 55.5),(375.0 0.0 200.0),373.5235,382.488,0.1219276,2.499637,36.312,41.216
Truck-107,Route-107,(425.0 0.0 55.5),(625.0 0.0 200.0),391.4453,392.224,0.008515998,2.144744,7.32,80.008
Truck-108,Route-108,(175.0 0.0 194.5),(125.0 0.0 100.0),391.4453,393.136,0.01848904,2.165953,36.312,51.8
Truck-113,Route-113,(175.0 0.0 55.5),(625.0 0.0 200.0),391.4453,393.928,0.02715021,2.184372,7.312,81.656
Truck-119,Route-119,(175.0 0.0 155.5),(125.0 0.0 50.0),387.8609,415.672,0.3165355,2.821268,71.784,38.88
Truck-106,Route-106,(175.0 0.0 155.5),(625.0 0.0 50.0),405.7827,435.272,0.278773,2.652392,38.752,82.584
