Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-14,Route-14,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,340,-0.03063937,2.666667,6.84,28.088,,,436.816,417.464,436.816,0.1058339,0.2078643,0.1625175
Truck-5,Route-5,(175.0 0.0 205.5),(125.0 0.0 150.0),341.2643,347.384,0.1483047,3.158933,6.84,35.488
Truck-10,Route-10,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,347.952,0.06919565,2.820706,6.84,36.08
Truck-4,Route-4,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,351.416,0.1464329,3.02447,6.848,39.416
Truck-8,Route-8,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,356.312,0.0825618,2.681524,6.84,44.4
Truck-3,Route-3,(425.0 0.0 155.5),(375.0 0.0 150.0),362.7704,363.152,0.006079166,2.338963,29.728,28.376
Truck-18,Route-18,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,363.264,0.2162094,3.012572,9.28,39.944
Truck-9,Route-9,(675.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,366.496,0.05935258,2.462815,29.512,31.944
Truck-11,Route-11,(425.0 0.0 205.5),(625.0 0.0 50.0),366.3548,367.312,0.01442617,2.321104,6.84,55.368
Truck-0,Route-0,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,369.032,0.09975395,2.556741,6.848,57.12
Truck-17,Route-17,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,377.144,0.0004689967,2.204115,9.168,62.904
Truck-16,Route-16,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,382.088,0.30775,3.040297,9.288,58.8
Truck-1,Route-1,(675.0 0.0 205.5),(125.0 0.0 50.0),384.2766,385.808,0.01817188,2.200206,6.848,73.864
Truck-6,Route-6,(425.0 0.0 -5.5),(125.0 0.0 100.0),369.9391,388.328,0.2629271,2.84929,43.76,33.528
Truck-2,Route-2,(175.0 0.0 55.5),(625.0 0.0 200.0),391.4453,392,0.006066456,2.139535,6.848,80.072
Truck-19,Route-19,(425.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,392.96,0.1520319,2.512432,22.952,64.936
Truck-13,Route-13,(175.0 0.0 155.5),(625.0 0.0 150.0),398.614,395.72,-0.02934627,2.036596,29.952,60.704
Truck-7,Route-7,(425.0 0.0 55.5),(375.0 0.0 0.0),380.6922,401.624,0.2594029,2.746594,37.888,52.64
Truck-12,Route-12,(675.0 0.0 55.5),(375.0 0.0 50.0),395.0296,402.304,0.07654861,2.273422,38.896,55.352
Truck-15,Route-15,(175.0 0.0 105.5),(625.0 0.0 50.0),409.367,436.816,0.2509807,2.581434,39.208,71.688
Truck-102,Route-102,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,339.552,-0.04149617,2.6368,7.064,27.48
Truck-105,Route-105,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,345.872,0.111663,3.058134,7.056,33.784
Truck-109,Route-109,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,346.456,0.03583898,2.732706,7.056,34.352
Truck-108,Route-108,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,349.512,0.1039792,2.91247,7.056,37.424
Truck-123,Route-123,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,351.368,0.1453633,3.021648,9.712,36.592
Truck-120,Route-120,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,352.68,0.2766478,3.512,9.712,31.912
Truck-100,Route-100,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,355.32,0.1421963,2.911579,7.064,43.232
Truck-113,Route-113,(425.0 0.0 205.5),(375.0 0.0 50.0),348.433,356.368,0.1638345,2.966738,7.048,44.28
Truck-121,Route-121,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,357.488,0.2818221,3.381647,9.712,42.784
Truck-111,Route-111,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,359.928,0.152077,2.853715,7.048,47.856
Truck-115,Route-115,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,360.384,0.02024019,2.41536,9.6,45.768
Truck-119,Route-119,(425.0 0.0 155.5),(125.0 0.0 200.0),359.1861,362.648,0.05849256,2.50592,28.376,29.216
Truck-124,Route-124,(175.0 0.0 194.5),(375.0 0.0 150.0),352.0174,368.352,0.3140225,3.254857,21.52,38.76
Truck-104,Route-104,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,371.416,0.3729259,3.400761,7.056,59.296
Truck-118,Route-118,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,372.768,0.3989176,3.465143,9.704,52
Truck-116,Route-116,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,379.36,0.5256441,3.779047,9.712,64.608
Truck-103,Route-103,(425.0 0.0 155.5),(125.0 0.0 100.0),366.3548,381.92,0.2345762,2.824828,29.64,44.272
Truck-122,Route-122,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,383.568,0.1948677,2.695742,9.712,68.816
