Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-4,Route-4,(675.0 0.0 205.5),(625.0 0.0 50.0),348.433,354.28,0.1207231,2.856842,6.928,42.312,,,418.936,435,435,0.1726097,0.1304132,0.1491673
Truck-6,Route-6,(425.0 0.0 205.5),(125.0 0.0 50.0),348.433,354.28,0.1207231,2.856842,6.92,42.312
Truck-7,Route-7,(175.0 0.0 194.5),(375.0 0.0 150.0),352.0174,356.8,0.09194282,2.704761,16.216,35.504
Truck-13,Route-13,(425.0 0.0 155.5),(125.0 0.0 200.0),359.1861,358.336,-0.01436262,2.33344,22.464,30.816
Truck-3,Route-3,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,360.88,0.1703785,2.899048,6.928,49.032
Truck-8,Route-8,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,362.048,0.04835494,2.48192,6.92,50.16
Truck-10,Route-10,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,367.44,0.07439151,2.497778,6.92,55.448
Truck-11,Route-11,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,368.608,0.3189442,3.267048,6.92,56.76
Truck-15,Route-15,(425.0 0.0 5.5),(125.0 0.0 200.0),352.0174,372.28,0.389536,3.441905,9.328,51.952
Truck-1,Route-1,(425.0 0.0 55.5),(625.0 0.0 200.0),366.3548,375.72,0.1411388,2.611035,6.928,63.864
Truck-16,Route-16,(175.0 0.0 205.5),(375.0 0.0 100.0),362.7704,375.896,0.2091046,2.810963,6.912,64.056
Truck-9,Route-9,(675.0 0.0 155.5),(625.0 0.0 0.0),373.5235,378.176,0.06327948,2.368969,30.504,42.624
Truck-0,Route-0,(175.0 0.0 105.5),(125.0 0.0 100.0),369.9391,378.376,0.1206319,2.528258,34.704,35.776
Truck-17,Route-17,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,382.728,0.2467529,2.85269,9.32,68.416
Truck-18,Route-18,(425.0 0.0 105.5),(375.0 0.0 100.0),369.9391,384.248,0.2045904,2.717677,39.608,36.68
Truck-2,Route-2,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,388.008,0.3263251,3.034759,6.928,76.064
Truck-19,Route-19,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,393.056,0.1532218,2.515027,9.336,78.704
Truck-14,Route-14,(675.0 0.0 5.5),(125.0 0.0 200.0),369.9391,393.608,0.3384213,3.019613,6.912,81.72
Truck-5,Route-5,(425.0 0.0 105.5),(625.0 0.0 150.0),384.2766,394.56,0.1220203,2.424615,35.96,53.616
Truck-12,Route-12,(675.0 0.0 55.5),(125.0 0.0 0.0),398.614,418.936,0.2060768,2.530553,39.24,62.72
Truck-108,Route-108,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,341.096,-0.004078692,2.739734,7.392,28.672
Truck-101,Route-101,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,345.896,0.0233526,2.699764,7.4,33.504
Truck-107,Route-107,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,349.936,0.03103236,2.628211,7.392,37.584
Truck-114,Route-114,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,350.28,0.03813483,2.646316,7.384,37.976
Truck-120,Route-120,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,355.368,0.1431874,2.914106,9.984,40.552
Truck-100,Route-100,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,357.824,0.1116289,2.753524,7.4,45.52
Truck-109,Route-109,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,362.008,0.04767896,2.48032,7.384,49.576
Truck-119,Route-119,(175.0 0.0 194.5),(375.0 0.0 150.0),352.0174,362.888,0.2089809,2.994667,21.904,36.136
Truck-102,Route-102,(175.0 0.0 194.5),(375.0 0.0 0.0),362.7704,364.104,0.02124548,2.374222,16.96,42.104
Truck-104,Route-104,(675.0 0.0 205.5),(125.0 0.0 100.0),362.7704,364.104,0.02124548,2.374222,7.392,51.712
Truck-113,Route-113,(425.0 0.0 194.5),(375.0 0.0 100.0),355.6017,366.544,0.1967977,2.893218,16.944,44.568
Truck-103,Route-103,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,371.088,0.1325082,2.632889,7.4,58.72
Truck-105,Route-105,(675.0 0.0 155.5),(625.0 0.0 0.0),373.5235,373.528,6.184582E-05,2.228122,30.688,38.008
Truck-111,Route-111,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,376.216,0.2142026,2.822815,7.384,63.848
