Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-5,Route-5,(675.0 0.0 205.5),(125.0 0.0 150.0),359.1861,357.384,-0.03044742,2.29536,7.016,45.352,,,436.336,439.44,439.44,0.4088153,0.1998642,0.2927313
Truck-14,Route-14,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,363.992,0.2302047,3.047238,7,52.096
Truck-0,Route-0,(425.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,370.392,0.12142,2.607111,16.616,48.728
Truck-2,Route-2,(175.0 0.0 205.5),(375.0 0.0 150.0),359.1861,372.152,0.2190709,2.88608,7.024,60.168
Truck-6,Route-6,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,378.424,0.3250418,3.136961,7.016,66.504
Truck-19,Route-19,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,384,0.2010446,2.709677,7,72.016
Truck-4,Route-4,(425.0 0.0 55.5),(625.0 0.0 200.0),366.3548,389.368,0.3468213,3.081656,7.016,77.36
Truck-11,Route-11,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,389.576,0.4270415,3.317629,7.008,77.576
Truck-17,Route-17,(675.0 0.0 55.5),(625.0 0.0 50.0),377.1078,390.664,0.1758077,2.5904,43.352,36.448
Truck-7,Route-7,(175.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,403.344,0.6463806,3.827555,16.6,81.736
Truck-15,Route-15,(425.0 0.0 105.5),(625.0 0.0 150.0),384.2766,404.384,0.2385889,2.676513,37.824,52.68
Truck-12,Route-12,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,408.56,0.7294771,4.020741,7.008,96.552
Truck-3,Route-3,(175.0 0.0 155.5),(375.0 0.0 100.0),384.2766,412.296,0.3324702,2.879384,30.248,77.056
Truck-1,Route-1,(675.0 0.0 55.5),(125.0 0.0 50.0),395.0296,418.328,0.2451699,2.629511,39.68,73.552
Truck-18,Route-18,(175.0 0.0 155.5),(375.0 0.0 100.0),384.2766,422.144,0.4493238,3.131898,33.848,83.304
Truck-9,Route-9,(425.0 0.0 105.5),(125.0 0.0 100.0),369.9391,424.6,0.7815496,4.019355,33.84,79.936
Truck-10,Route-10,(675.0 0.0 -5.5),(125.0 0.0 200.0),380.6922,426.856,0.5720973,3.42854,30.864,90.944
Truck-13,Route-13,(425.0 0.0 155.5),(125.0 0.0 0.0),373.5235,428.912,0.7533448,3.906424,30.448,93.488
Truck-16,Route-16,(425.0 0.0 -5.5),(625.0 0.0 200.0),380.6922,432.64,0.6437774,3.584865,32.36,95.416
Truck-8,Route-8,(175.0 0.0 55.5),(125.0 0.0 50.0),377.1078,436.336,0.7681209,3.895314,38.456,89.944
Truck-104,Route-104,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,345.192,0.007655139,2.658352,7.464,32.872
Truck-103,Route-103,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,345.392,0.01211485,2.670118,7.472,33.088
Truck-114,Route-114,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,346.12,0.1176727,3.074666,7.432,33.736
Truck-110,Route-110,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,349.168,0.0151753,2.58779,7.448,36.8
Truck-119,Route-119,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,353.56,0.1942384,3.150588,9.944,38.688
Truck-109,Route-109,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,360.736,0.2540205,3.196631,7.448,48.472
Truck-122,Route-122,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,363.264,0.2162094,3.012572,7.432,50.896
Truck-121,Route-121,(175.0 0.0 194.5),(375.0 0.0 150.0),352.0174,364.728,0.2443536,3.082286,21.712,35.2
Truck-113,Route-113,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,365.48,0.1063417,2.6192,7.44,53.08
Truck-112,Route-112,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,370.84,0.1969033,2.8336,7.44,58.456
Truck-100,Route-100,(175.0 0.0 194.5),(125.0 0.0 50.0),359.1861,371.072,0.200823,2.84288,16.984,49.152
Truck-107,Route-107,(425.0 0.0 155.5),(375.0 0.0 150.0),362.7704,374.264,0.1831052,2.750519,35.056,34.256
